Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                   4,699,543,189 |Average Number of Trades/Week                                                 542 |Notional traded in prior 8 Weeks                               30,319,658,485 |Contracts traded in prior 8 Weeks                                              3,142 |DC RegionAmericas
LANXESS AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                        99,026,877 |                                                  30 |                                  686,235,709 |                                                258 |Europe
PULTEGROUP, INC.|CONSUMER GOODS|CORP|                                        98,971,462 |                                                  38 |                                  488,028,000 |                                                180 |Americas
JAPAN|GOVERNMENT|SOV|                                        98,922,631 |                                                    6 |                                  773,150,000 |                                                 44 |Japan
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|                                        98,200,756 |                                                  18 |                                  696,039,660 |                                                169 |Americas
ORANGE|TELECOMMUNICATIONS SERVICES|CORP|                                        97,191,765 |                                                  13 |                                  742,662,905 |                                                115 |Europe
CENTRICA PLC|UTILITIES|CORP|                                        95,290,020 |                                                  18 |                                  320,673,616 |                                                 90 |Europe
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|                                        94,103,962 |                                                  17 |                                  816,590,000 |                                                145 |Americas
PORTUGUESE REPUBLIC|GOVERNMENT|SOV|                                        93,369,819 |                                                  10 |                                  470,283,286 |                                                 43 |Europe
APACHE CORPORATION|ENERGY|CORP|                                        92,985,769 |                                                  21 |                                  469,000,000 |                                                144 |Americas
VALERO ENERGY CORPORATION|ENERGY|CORP|                                        92,565,000 |                                                  17 |                                  442,850,000 |                                                104 |Americas
ENI S.P.A.|ENERGY|CORP|                                        91,926,789 |                                                  16 |                                  625,283,299 |                                                 70 |Europe
COMCAST CORPORATION|CONSUMER SERVICES|CORP|                                        91,821,346 |                                                  15 |                                  277,975,000 |                                                 52 |Americas
BEST BUY CO., INC.|CONSUMER SERVICES|CORP|                                        91,635,308 |                                                  19 |                                  524,663,000 |                                                103 |Americas
ALLIANZ SE|FINANCIALS|CORP|                                        91,391,033 |                                                  15 |                                  473,116,962 |                                                115 |Europe
R.R. DONNELLEY & SONS COMPANY|INDUSTRIALS|CORP|                                        91,169,652 |                                                  37 |                                  712,731,289 |                                                256 |Americas
SWISS REINSURANCE COMPANY LTD|FINANCIALS|CORP|                                        89,231,567 |                                                  15 |                                  240,679,892 |                                                 43 |Europe
TOLL BROTHERS, INC.|CONSUMER GOODS|CORP|                                        89,151,226 |                                                  35 |                                  788,111,758 |                                                246 |Americas
NATWEST MARKETS PLC|FINANCIALS|CORP|                                        89,036,066 |                                                  12 |                                  529,906,527 |                                                 74 |Europe
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|                                        88,771,198 |                                                  16 |                                  704,013,587 |                                                105 |Europe
ALTICE FINCO S.A.|CONSUMER SERVICES|CORP|                                        88,688,638 |                                                  23 |                                  829,392,935 |                                                182 |Europe
AUCHAN HOLDING|CONSUMER SERVICES|CORP|                                        87,867,103 |                                                  23 |                                  789,380,187 |                                                211 |Europe
KINDER MORGAN, INC.|ENERGY|CORP|                                        87,687,692 |                                                  20 |                                  698,800,000 |                                                202 |Americas
AVNET, INC.|CONSUMER GOODS|CORP|                                        87,600,077 |                                                  20 |                                  366,200,000 |                                                124 |Americas
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|                                        87,389,615 |                                                  18 |                                  509,600,000 |                                                114 |Americas
BASF SE|BASIC MATERIALS|CORP|                                        87,112,663 |                                                  16 |                                  632,974,518 |                                                 87 |Europe
INTERNATIONAL PAPER COMPANY|BASIC MATERIALS|CORP|                                        86,110,769 |                                                  20 |                                  410,400,000 |                                                117 |Americas
MCKESSON CORPORATION|HEALTHCARE|CORP|                                        85,580,468 |                                                  20 |                                  486,448,158 |                                                133 |Americas
ARROW ELECTRONICS, INC.|TECHNOLOGY|CORP|                                        85,472,692 |                                                  21 |                                  536,700,000 |                                                188 |Americas
HCA INC.|HEALTHCARE|CORP|                                        85,287,615 |                                                  28 |                                  646,178,000 |                                                223 |Americas
THE GAP, INC.|CONSUMER SERVICES|CORP|                                        84,867,666 |                                                  22 |                                  544,070,000 |                                                153 |Americas
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|                                        84,629,017 |                                                  18 |                                  823,565,000 |                                                160 |Americas
COMPAGNIE DE SAINT-GOBAIN|INDUSTRIALS|CORP|                                        83,994,058 |                                                  15 |                                  248,838,532 |                                                 54 |Europe
PFIZER INC.|HEALTHCARE|CORP|                                        83,937,599 |                                                  13 |                                  898,917,578 |                                                110 |Americas
TYSON FOODS, INC.|CONSUMER GOODS|CORP|                                        83,655,654 |                                                  18 |                                  535,749,000 |                                                159 |Americas
CATERPILLAR INC.|INDUSTRIALS|CORP|                                        82,551,031 |                                                  16 |                                  628,384,638 |                                                122 |Americas
NAVIENT CORPORATION|FINANCIALS|CORP|                                        82,298,781 |                                                  27 |                                  480,435,000 |                                                156 |Americas
CBS CORPORATION|CONSUMER SERVICES|CORP|                                        81,183,846 |                                                  16 |                                  435,400,000 |                                                108 |Americas
CONOCOPHILLIPS|ENERGY|CORP|                                        80,523,980 |                                                  14 |                                  349,128,000 |                                                 84 |Americas
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                        80,312,251 |                                                  14 |                                  555,810,007 |                                                103 |Europe
AKZO NOBEL N.V.|BASIC MATERIALS|CORP|                                        79,749,402 |                                                  15 |                                  593,507,095 |                                                 88 |Europe
LEBANESE REPUBLIC|GOVERNMENT|SOV|                                        78,393,824 |                                                  30 |                                  754,999,434 |                                                344 |Europe
THE HARTFORD FINANCIAL SERVICES GROUP, INC.|FINANCIALS|CORP|                                        78,393,346 |                                                  15 |                                  723,918,000 |                                                105 |Americas
CECONOMY AG|CONSUMER SERVICES|CORP|                                        77,198,393 |                                                  21 |                                  686,163,425 |                                                205 |Europe
DEERE & COMPANY|INDUSTRIALS|CORP|                                        77,083,846 |                                                  13 |                                  806,500,000 |                                                121 |Americas
REPUBLIC OF PANAMA|GOVERNMENT|SOV|                                        77,068,846 |                                                  20 |                                  343,450,000 |                                                136 |Americas
AIRBUS SE|INDUSTRIALS|CORP|                                        77,062,365 |                                                  13 |                                  596,028,579 |                                                 94 |Europe
ENGIE|UTILITIES|CORP|                                        76,424,049 |                                                  12 |                                  262,606,238 |                                                 58 |Europe
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                        76,336,107 |                                                  24 |                                  596,689,202 |                                                194 |Europe
MGM RESORTS INTERNATIONAL|CONSUMER SERVICES|CORP|                                        76,329,962 |                                                  24 |                                  552,748,000 |                                                165 |Americas
SCHAEFFLER FINANCE B.V.|CONSUMER GOODS|CORP|                                        75,532,681 |                                                  18 |                                  562,193,167 |                                                168 |Europe
EXPEDIA GROUP, INC.|CONSUMER SERVICES|CORP|                                        75,079,352 |                                                  18 |                                  545,333,145 |                                                122 |Americas
RYDER SYSTEM, INC.|INDUSTRIALS|CORP|                                        74,356,154 |                                                  19 |                                  479,700,000 |                                                170 |Americas
SANOFI|HEALTHCARE|CORP|                                        74,220,380 |                                                  12 |                                  390,028,337 |                                                 58 |Europe
INTERNATIONAL LEASE FINANCE CORPORATION|INDUSTRIALS|CORP|                                        73,277,231 |                                                  19 |                                  459,855,000 |                                                136 |Americas
KOBE STEEL, LTD.|BASIC MATERIALS|CORP|                                        73,062,757 |                                                  15 |                                  307,551,973 |                                                 70 |Japan
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                        72,751,664 |                                                  24 |                                  809,171,003 |                                                220 |Europe
UNITYMEDIA GMBH|CONSUMER SERVICES|CORP|                                        72,471,028 |                                                  11 |                                  878,597,990 |                                                112 |Europe
THE WALT DISNEY COMPANY|CONSUMER SERVICES|CORP|                                        72,278,077 |                                                  12 |                                  308,400,000 |                                                 62 |Americas
LLOYDS BANK PLC|FINANCIALS|CORP|                                        72,227,697 |                                                  14 |                                  349,035,418 |                                                 44 |Europe
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                        71,633,406 |                                                  22 |                                  777,253,795 |                                                216 |Europe
WEYERHAEUSER COMPANY|BASIC MATERIALS|CORP|                                        71,527,154 |                                                  17 |                                  514,090,000 |                                                143 |Americas
SOLVAY|BASIC MATERIALS|CORP|                                        71,397,395 |                                                  21 |                                  285,067,088 |                                                162 |Europe
HANNOVER RUECK SE|FINANCIALS|CORP|                                        71,269,298 |                                                  15 |                                  313,427,769 |                                                 82 |Europe
OMNICOM GROUP INC.|CONSUMER SERVICES|CORP|                                        71,068,462 |                                                  15 |                                  249,300,000 |                                                 72 |Americas
ROYAL CARIBBEAN CRUISES LTD.|CONSUMER SERVICES|CORP|                                        70,778,577 |                                                  17 |                                  540,063,000 |                                                146 |Americas
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                        70,652,851 |                                                  15 |                                  294,865,728 |                                                 65 |Europe
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|                                        70,600,436 |                                                  20 |                                  850,096,573 |                                                227 |Europe
HONEYWELL INTERNATIONAL INC.|INDUSTRIALS|CORP|                                        70,343,298 |                                                  13 |                                  259,677,000 |                                                 77 |Americas
ATLANTIA S.P.A.|INDUSTRIALS|CORP|                                        68,685,742 |                                                  22 |                                  555,263,300 |                                                102 |Europe
HALLIBURTON COMPANY|ENERGY|CORP|                                        68,427,654 |                                                  16 |                                  419,850,000 |                                                 91 |Americas
TARGET CORPORATION|CONSUMER SERVICES|CORP|                                        68,273,269 |                                                  14 |                                  458,440,000 |                                                104 |Americas
WALMART INC.|CONSUMER SERVICES|CORP|                                        67,648,846 |                                                  12 |                                  457,832,000 |                                                 80 |Americas
THE WILLIAMS COMPANIES, INC.|ENERGY|CORP|                                        67,429,615 |                                                  14 |                                  790,250,000 |                                                160 |Americas
VEOLIA ENVIRONNEMENT|UTILITIES|CORP|                                        67,365,059 |                                                  12 |                                  221,218,135 |                                                 53 |Europe
M.D.C. HOLDINGS, INC.|CONSUMER GOODS|CORP|                                        67,125,279 |                                                  29 |                                  498,986,000 |                                                213 |Americas
SUPERVALU INC.|CONSUMER SERVICES|CORP|                                        66,389,038 |                                                  20 |                                  374,988,000 |                                                171 |Americas
UBS AG|FINANCIALS|CORP|                                        66,363,795 |                                                    9 |                                  408,001,142 |                                                 44 |Europe
AMERICAN EXPRESS COMPANY|FINANCIALS|CORP|                                        66,233,846 |                                                  11 |                                  620,000,000 |                                                103 |Americas
DOMTAR CORPORATION|BASIC MATERIALS|CORP|                                        65,682,359 |                                                  17 |                                  371,428,000 |                                                132 |Americas
NEWMONT MINING CORPORATION|BASIC MATERIALS|CORP|                                        65,557,694 |                                                  16 |                                  366,988,053 |                                                102 |Americas
SIMON PROPERTY GROUP, L.P.|FINANCIALS|CORP|                                        65,325,308 |                                                  15 |                                  353,398,000 |                                                103 |Americas
WELLS FARGO & COMPANY|FINANCIALS|CORP|                                        64,623,725 |                                                    8 |                                  309,678,188 |                                                 50 |Americas
IMPERIAL BRANDS PLC|CONSUMER GOODS|CORP|                                        64,524,277 |                                                  16 |                                  373,597,742 |                                                 65 |Europe
CHINA DEVELOPMENT BANK|GOVERNMENT|CORP|                                        64,440,062 |                                                    6 |                                  350,225,000 |                                                 48 |Asia Ex-Japan
LINCOLN NATIONAL CORPORATION|FINANCIALS|CORP|                                        64,280,000 |                                                  14 |                                  313,875,000 |                                                 90 |Americas
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                        63,702,324 |                                                  18 |                                  671,265,513 |                                                199 |Europe
JOHNSON & JOHNSON|HEALTHCARE|CORP|                                        63,490,797 |                                                  12 |                                  276,650,004 |                                                 82 |Americas
LEONARDO SOCIETA' PER AZIONI|INDUSTRIALS|CORP|                                        63,298,623 |                                                  19 |                                  357,715,022 |                                                100 |Europe
BAE SYSTEMS PLC|INDUSTRIALS|CORP|                                        62,367,577 |                                                  13 |                                    93,534,297 |                                                 29 |Europe
CONTINENTAL AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                        62,243,872 |                                                  15 |                                  368,555,249 |                                                 75 |Europe
DANSKE BANK A/S|FINANCIALS|CORP|                                        62,240,141 |                                                  15 |                                  290,999,722 |                                                 92 |Europe
SEARS ROEBUCK ACCEPTANCE CORP.|FINANCIALS|CORP|                                        62,089,885 |                                                  24 |                                  525,639,000 |                                                259 |
TECK RESOURCES LIMITED|ENERGY|CORP|                                        61,948,538 |                                                  19 |                                  434,302,000 |                                                144 |Americas
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES|CORP|                                        61,884,798 |                                                    9 |                                  528,664,790 |                                                 67 |Europe
DIAMOND OFFSHORE DRILLING, INC.|ENERGY|CORP|                                        61,519,231 |                                                  19 |                                  186,270,000 |                                                103 |Americas
CMA CGM|INDUSTRIALS|CORP|                                        61,507,347 |                                                  31 |                                  311,764,029 |                                                135 |Europe
LOWE'S COMPANIES, INC.|CONSUMER SERVICES|CORP|                                        61,264,615 |                                                  11 |                                  410,400,000 |                                                 75 |Americas
THE AES CORPORATION|UTILITIES|CORP|                                        61,164,423 |                                                  16 |                                  590,295,000 |                                                197 |Americas
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUENCHEN|FINANCIALS|CORP|                                        60,492,483 |                                                  14 |                                  169,745,046 |                                                 61 |Europe
ADVANCED MICRO DEVICES, INC.|TECHNOLOGY|CORP|                                        60,236,538 |                                                  20 |                                  308,774,000 |                                                144 |Americas
PERNOD RICARD|CONSUMER GOODS|CORP|                                        60,080,130 |                                                  13 |                                  260,817,065 |                                                 60 |Europe
THE PROCTER & GAMBLE COMPANY|CONSUMER GOODS|CORP|                                        60,007,692 |                                                    9 |                                  331,400,000 |                                                 63 |Americas
SPRINGLEAF FINANCE CORPORATION|FINANCIALS|CORP|                                        59,973,372 |                                                  22 |                                  618,146,668 |                                                151 |Americas
DANONE|CONSUMER GOODS|CORP|                                        59,793,221 |                                                    9 |                                  436,334,765 |                                                 71 |Europe
NRG ENERGY, INC.|UTILITIES|CORP|                                        59,787,908 |                                                  16 |                                  602,600,000 |                                                141 |Americas
MARUBENI CORPORATION|ENERGY|CORP|                                        59,416,298 |                                                  11 |                                  302,901,147 |                                                 63 |Japan
BOSTON SCIENTIFIC CORPORATION|HEALTHCARE|CORP|                                        58,832,885 |                                                  12 |                                  265,250,000 |                                                 65 |Americas
THE GOODYEAR TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                        58,770,462 |                                                  23 |                                  463,945,000 |                                                193 |Americas
