Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                   4,699,543,189 |Average Number of Trades/Week                                                 542 |Notional traded in prior 8 Weeks                               30,319,658,485 |Contracts traded in prior 8 Weeks                                              3,142 |DC RegionAmericas
DP WORLD LIMITED|INDUSTRIALS|CORP|                                            769,231 |                                                    1 |                                                 -   |                                                  -   |Europe
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|UTILITIES|CORP|                                            769,231 |                                                    1 |                                                 -   |                                                  -   |Americas
STATE OF CONNECTICUT|GOVERNMENT|MUNI|                                            769,231 |                                                    1 |                                    10,000,000 |                                                   3 |Americas
REPUBLIC OF BULGARIA|GOVERNMENT|SOV|                                            769,231 |                                                    1 |                                                 -   |                                                  -   |Europe
REPUBLIC OF GUATEMALA|GOVERNMENT|SOV|                                            769,231 |                                                    1 |                                    20,000,000 |                                                   1 |Americas
REGION OF CAMPANIA|GOVERNMENT|STATE|                                            769,231 |                                                    1 |                                                 -   |                                                  -   |
ABERTIS INFRAESTRUCTURAS, S.A.|INDUSTRIALS|CORP|                                            767,052 |                                                    1 |                                      5,892,351 |                                                   2 |Europe
VTB BANK (PUBLIC JOINT-STOCK COMPANY)|FINANCIALS|CORP|                                            755,769 |                                                    1 |                                        150,000 |                                                   1 |Europe
STATE OF MICHIGAN|GOVERNMENT|MUNI|                                            755,576 |                                                    1 |                                    19,644,978 |                                                   2 |Americas
ROCHE HOLDINGS, INC.|HEALTHCARE|CORP|                                            740,902 |                                                    1 |                                      5,665,723 |                                                   1 |Europe
ERSTE GROUP BANK AG|FINANCIALS|CORP|                                            730,602 |                                                    1 |                                      1,133,145 |                                                   1 |Europe
TVN FINANCE CORPORATION III AB (PUBL)|CONSUMER SERVICES|CORP|                                            721,715 |                                                    1 |                                      1,132,861 |                                                   1 |Europe
HD SUPPLY, INC.|INDUSTRIALS|CORP|                                            711,538 |                                                    1 |                                    10,500,000 |                                                   9 |Americas
CENTRAL JAPAN RAILWAY COMPANY|CONSUMER SERVICES|CORP|                                            695,131 |                                                    1 |                                                 -   |                                                  -   |Japan
AMERISOURCEBERGEN CORPORATION|CONSUMER SERVICES|CORP|                                            692,308 |                                                    1 |                                                 -   |                                                  -   |Americas
REPUBLIC OF LITHUANIA|GOVERNMENT|SOV|                                            685,879 |                                                    1 |                                    15,000,000 |                                                   1 |Europe
HYUNDAI CAPITAL SERVICES, INC.|FINANCIALS|CORP|                                            653,846 |                                                    1 |                                    12,900,000 |                                                   3 |Asia Ex-Japan
QBE INSURANCE GROUP LIMITED|FINANCIALS|CORP|                                            653,846 |                                                    1 |                                      5,000,000 |                                                   1 |Australia NZ
VORNADO REALTY L.P.|FINANCIALS|CORP|                                            653,846 |                                                    1 |                                    13,000,000 |                                                   8 |Americas
THE RANK GROUP PLC|CONSUMER SERVICES|CORP|                                            653,737 |                                                    1 |                                                 -   |                                                  -   |Europe
KLEPIERRE|FINANCIALS|CORP|                                            653,737 |                                                    1 |                                    16,997,168 |                                                   1 |Europe
JETBLUE AIRWAYS CORPORATION|INDUSTRIALS|CORP|                                            625,000 |                                                    1 |                                    13,000,000 |                                                   2 |Americas
CONSTELLATION BRANDS, INC.|CONSUMER GOODS|CORP|                                            615,385 |                                                    1 |                                      5,000,000 |                                                   1 |Americas
BANCO POPULAR ESPANOL, S.A.|FINANCIALS|CORP|                                            610,155 |                                                    1 |                                    15,864,023 |                                                   4 |
TRW AUTOMOTIVE INC.|CONSUMER GOODS|CORP|                                            603,500 |                                                    1 |                                    15,675,000 |                                                   2 |Americas
SEIKO EPSON CORPORATION|TECHNOLOGY|CORP|                                            597,912 |                                                    1 |                                      9,036,700 |                                                   2 |Japan
TURKIYE GARANTI BANKASI A.S.|FINANCIALS|CORP|                                            596,154 |                                                    1 |                                                 -   |                                                  -   |Europe
LEXMARK INTERNATIONAL, INC.|TECHNOLOGY|CORP|                                            596,134 |                                                    1 |                                    15,499,480 |                                                   9 |Americas
REGION OF UMBRIA|GOVERNMENT|STATE|                                            586,387 |                                                    1 |                                                 -   |                                                  -   |Europe
MERCK & CO., INC.|HEALTHCARE|CORP|                                            576,923 |                                                    1 |                                    12,000,000 |                                                   2 |Americas
JAMAICA|GOVERNMENT|SOV|                                            576,923 |                                                    1 |                                    10,000,000 |                                                   2 |Americas
GPT RE LIMITED AS RESPONSIBLE ENTITY OF THE GENERAL PROPERTY TRUST|FINANCIALS|CORP|                                            573,846 |                                                    1 |                                    14,920,000 |                                                   2 |Australia NZ
REPUBLIC OF SERBIA|GOVERNMENT|SOV|                                            569,231 |                                                    1 |                                                 -   |                                                  -   |Europe
SABRE HOLDINGS CORPORATION|CONSUMER SERVICES|CORP|                                            545,308 |                                                    1 |                                      3,000,000 |                                                   4 |Americas
AMCOR LTD|INDUSTRIALS|CORP|                                            538,462 |                                                    1 |                                                 -   |                                                  -   |Australia NZ
NOVO BANCO, S.A.|FINANCIALS|CORP|                                            536,065 |                                                    1 |                                      3,966,006 |                                                   1 |Europe
ASAHI GROUP HOLDINGS, LTD.|CONSUMER GOODS|CORP|                                            521,348 |                                                    1 |                                      4,518,350 |                                                   1 |Japan
NIKON CORPORATION|CONSUMER GOODS|CORP|                                            521,348 |                                                    1 |                                                 -   |                                                  -   |Japan
YAMAHA MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                            521,348 |                                                    1 |                                      4,518,350 |                                                   1 |Japan
AVIS BUDGET CAR RENTAL, LLC|CONSUMER SERVICES|CORP|                                            519,231 |                                                    1 |                                      1,000,000 |                                                   1 |Americas
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|                                            506,864 |                                                    1 |                                        679,887 |                                                   1 |Europe
BEAM SUNTORY INC.|CONSUMER GOODS|CORP|                                            500,000 |                                                    1 |                                    10,000,000 |                                                   4 |Americas
