Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
CHINA HUARONG           INTERNATIONAL HOLDINGS LIMITED|FINANCIALS|CORP|9,700,000           |2 |87,025,000 |14 |Asia Ex-Japan
TDC A/S|TELECOMMUNICATIONS SERVICES           |CORP|9,567,091           |3 |136,460,459 |34 |Europe
RIO TINTO LIMITED|BASIC MATERIALS|CORP|9,475,632           |1 |24,316,444 |7 |Australia NZ
CONSTELLIUM SE|BASIC MATERIALS|CORP|9,354,032           |4 |121,629,543 |45 |Europe
LAGARDERE SA|CONSUMER SERVICES|CORP|9,351,269           |4 |75,239,604 |31 |Europe
NEW ALBERTSONS L.P.|CONSUMER SERVICES|CORP|9,299,346           |6 |67,200,000 |24 |Americas
UNISYS CORPORATION|TECHNOLOGY|CORP|9,244,231           |4 |61,900,000 |32 |Americas
NOMURA HOLDINGS, INC.|FINANCIALS|CORP|9,242,544           |1 |115,242,660 |11 |Japan
XLIT LTD.|FINANCIALS|CORP|9,204,308           |2 |42,850,000 |12 |Americas
RAYTHEON COMPANY|INDUSTRIALS|CORP|9,108,692           |3 |27,625,000 |13 |Americas
UNIVISION COMMUNICATIONS           INC.|CONSUMER SERVICES|CORP|9,024,186           |4 |86,800,000 |32 |Americas
ITOCHU CORPORATION|BASIC MATERIALS|CORP|8,911,534           |2 |32,243,610 |5 |Japan
SABRE HOLDINGS CORPORATION|TECHNOLOGY|CORP|8,866,731           |9 |64,430,000 |54 |Americas
BAIDU, INC.|TECHNOLOGY|CORP|8,827,000           |2 |29,700,000 |6 |Asia Ex-Japan
REPUBLIC OF KAZAKHSTAN|GOVERNMENT|SOV|8,680,769           |1 |115,000,000 |19 |Europe
OVINTIV CANADA ULC|ENERGY|CORP|8,480,577           |2 |152,425,000 |20 |Americas
THALES|INDUSTRIALS|CORP|8,459,970           |2 |68,248,554 |20 |Europe
ORIX CORPORATION|FINANCIALS|CORP|8,386,397           |1 |26,159,910 |5 |Japan
ASHLAND LLC|BASIC MATERIALS|CORP|8,193,217           |4 |56,223,630 |25 |Americas
THE ADT SECURITY           CORPORATION|INDUSTRIALS|CORP|8,187,846           |3 |74,384,000 |20 |Americas
STATE BANK OF INDIA|FINANCIALS|STATBODY|8,152,692           |2 |35,500,000 |11 |Asia Ex-Japan
CIGNA CORPORATION|HEALTHCARE|CORP|7,948,654           |1 |10,115,000 |4 |Americas
EXXON MOBIL CORPORATION|ENERGY|CORP|7,941,346           |1 |1,475,000 |1 |Americas
KINGDOM OF BELGIUM|GOVERNMENT|SOV|7,694,786           |1 |122,400,000 |7 |Europe
HUNGARY|GOVERNMENT|SOV|7,519,231           |1 |60,500,000 |5 |Europe
CHINA CONSTRUCTION BANK           CORPORATION|FINANCIALS|CORP|7,496,154           |2 |56,200,000 |13 |Asia Ex-Japan
MARUBENI CORPORATION|ENERGY|CORP|7,453,117           |2 |15,296,160 |4 |Japan
MITSUI & CO., LTD.|FINANCIALS|CORP|7,436,237           |2 |90,994,770 |15 |Japan
MITSUBISHI HEAVY           INDUSTRIES, LTD.|INDUSTRIALS|CORP|7,257,236           |1 |119,153,610 |15 |Japan
PT PERTAMINA (PERSERO)|ENERGY|CORP|7,256,538           |1 |60,800,000 |9 |Asia Ex-Japan
SUN HUNG KAI PROPERTIES           LIMITED|FINANCIALS|CORP|7,244,231           |1 |69,750,000 |9 |Asia Ex-Japan
TRANE TECHNOLOGIES COMPANY           LLC|INDUSTRIALS|CORP|7,060,077           |2 |25,850,000 |9 |Americas
ADECCO GROUP AG|INDUSTRIALS|CORP|7,053,097           |2 |51,257,504 |24 |Europe
MITSUI CHEMICALS, INC.|BASIC MATERIALS|CORP|7,039,844           |2 |47,018,310 |9 |Japan
SIRIUS XM RADIO INC.|CONSUMER SERVICES|CORP|6,861,538           |2 |44,000,000 |21 |Americas
ANTERO RESOURCES           CORPORATION|ENERGY|CORP|6,728,846           |1 |129,750,000 |9 |Americas
NISSAN MOTOR ACCEPTANCE           COMPANY LLC|FINANCIALS|CORP|6,538,462           |1 ||   |Americas
MITSUBISHI CORPORATION|INDUSTRIALS|CORP|6,511,147           |1 |30,244,680 |7 |Japan
M&G PLC|FINANCIALS|CORP|6,509,529           |2 |28,441,146 |10 |Europe
GARFUNKELUX HOLDCO 2 S.A.|INDUSTRIALS|CORP|6,448,030           |2 |33,646,765 |17 |Europe
JAPAN TOBACCO INC.|CONSUMER GOODS|STATBODY|6,364,068           |1 |27,898,110 |5 |Japan
SKANDINAVISKA ENSKILDA           BANKEN AB|FINANCIALS|CORP|6,318,028           |1 ||   |Europe
PEPSICO, INC.|CONSUMER GOODS|CORP|6,288,462           |1 ||   |Americas
SUPERVALU INC.|CONSUMER SERVICES|CORP|6,255,769           |2 |27,700,000 |8 |Americas
BANCA MONTE DEI PASCHI DI           SIENA S.P.A.|FINANCIALS|CORP|6,013,019           |2 |53,812,166 |13 |Europe
SUMITOMO REALTY &           DEVELOPMENT CO., LTD.|FINANCIALS|CORP|5,966,288           |1 |23,552,610 |4 |Japan
VISTRA CORP.|ENERGY|CORP|5,942,538           |3 |47,600,000 |16 |Americas
METSA BOARD CORPORATION|BASIC MATERIALS|CORP|5,924,785           |1 |566,444 |1 |Europe
VUE INTERNATIONAL BIDCO           PLC|CONSUMER SERVICES|CORP|5,849,851           |2 |19,938,824 |11 |Europe
CHEVRON CORPORATION|ENERGY|CORP|5,769,231           |1 ||   |Americas
HAMMERSON PLC|FINANCIALS|CORP|5,758,120           |1 |35,685,963 |5 |Europe
IRELAND|GOVERNMENT|SOV|5,744,786           |1 |15,800,000 |4 |Europe
TELSTRA CORPORATION           LIMITED|TELECOMMUNICATIONS SERVICES           |CORP|5,730,769           |1 |40,000,000 |2 |Australia NZ
SHIMIZU CORPORATION|INDUSTRIALS|CORP|5,692,187           |1 |12,688,860 |3 |Japan
TOYOTA MOTOR CREDIT           CORPORATION|FINANCIALS|CORP|5,653,846           |1 |55,000,000 |4 |Japan
KOMATSU LTD.|INDUSTRIALS|CORP|5,595,404           |1 |24,421,710 |5 |Japan
DAVITA INC.|HEALTHCARE|CORP|5,544,231           |4 |28,200,000 |12 |Americas
TOSHIBA CORPORATION|INDUSTRIALS|CORP|5,357,918           |1 |10,516,110 |2 |Japan
QANTAS AIRWAYS LIMITED|INDUSTRIALS|CORP|5,351,923           |1 ||   |Australia NZ
VOLVO CAR AB|CONSUMER GOODS|CORP|5,333,897           |2 |36,664,778 |20 |Europe
CHINA NATIONAL CHEMICAL           CORPORATION LIMITED|BASIC MATERIALS|CORP|5,312,615           |1 |49,100,000 |8 |Asia Ex-Japan
LOUISIANA-PACIFIC           CORPORATION|BASIC MATERIALS|CORP|5,226,923           |2 |17,200,000 |7 |Americas
HUTCHISON WHAMPOA LIMITED|CONSUMER SERVICES|CORP|5,173,077           |1 |27,500,000 |4 |Asia Ex-Japan
KAWASAKI HEAVY INDUSTRIES,           LTD.|INDUSTRIALS|CORP|5,133,958           |1 |42,585,900 |8 |Japan
OJI HOLDINGS CORPORATION|BASIC MATERIALS|CORP|5,072,118           |2 |32,243,610 |6 |Japan
PG&E CORPORATION|UTILITIES|CORP|4,982,654           |2 |43,499,000 |16 |Americas
THE HONGKONG LAND COMPANY,           LIMITED|FINANCIALS|CORP|4,942,308           |1 |48,000,000 |5 |Asia Ex-Japan
SYNLAB UNSECURED BONDCO           PLC|HEALTHCARE|CORP|4,876,188           |1 |14,727,540 |6 |Europe
AK STEEL CORPORATION|BASIC MATERIALS|CORP|4,850,962           |3 |20,950,000 |18 |Americas
EXPORT-IMPORT BANK OF           INDIA|GOVERNMENT|STATBODY|4,796,154           |1 |52,900,000 |9 |Asia Ex-Japan
AEON CO., LTD.|CONSUMER SERVICES|CORP|4,726,818           |1 |30,070,860 |6 |Japan
DBS BANK LTD.|FINANCIALS|CORP|4,603,846           |1 |26,500,000 |4 |Asia Ex-Japan
NUCOR CORPORATION|BASIC MATERIALS|CORP|4,588,462           |1 |7,000,000 |1 |Americas
SCENTRE MANAGEMENT LIMITED           AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1           |FINANCIALS|CORP|4,557,692           |1 |13,000,000 |2 |Australia NZ
WOLTERS KLUWER N.V.|CONSUMER SERVICES|CORP|4,554,644           |1 |27,189,305 |5 |Europe
BANCO DO BRASIL S.A.|FINANCIALS|CORP|4,538,462           |1 ||   |Americas
SASOL LTD|ENERGY|CORP|4,453,846           |1 |40,000,000 |5 |Europe
KINTETSU GROUP HOLDINGS           CO., LTD.|INDUSTRIALS|CORP|4,368,481           |1 |19,207,110 |3 |Japan
ROYAL BANK OF CANADA|FINANCIALS|STATBODY|4,358,803           |1 |11,328,877 |1 |Americas
ACOM CO., LTD.|FINANCIALS|CORP|4,351,768           |1 |15,556,890 |4 |Japan
SUMITOMO CORPORATION|INDUSTRIALS|CORP|4,335,054           |1 |10,516,110 |2 |Japan
PANASONIC CORPORATION|CONSUMER GOODS|CORP|4,300,290           |1 |18,685,650 |4 |Japan
MACQUARIE BANK LIMITED|FINANCIALS|CORP|4,244,712           |1 |10,000,000 |1 |Australia NZ
REPUBLIC OF POLAND|GOVERNMENT|SOV|4,201,923           |1 |12,100,000 |4 |Europe
REPUBLIC OF AUSTRIA|GOVERNMENT|SOV|4,187,094           |1 |4,500,000 |2 |Europe
HONDA MOTOR CO., LTD.|CONSUMER GOODS|CORP|4,164,577           |1 |27,898,110 |5 |Japan
CHINA PETROCHEMICAL           CORPORATION|ENERGY|CORP|4,150,000           |3 |83,300,000 |79 |Asia Ex-Japan
VANKE REAL ESTATE (HONG           KONG) COMPANY LIMITED|FINANCIALS|CORP|4,134,615           |1 |65,500,000 |10 |Asia Ex-Japan
ORANO|BASIC MATERIALS|CORP|4,120,378           |1 |14,800,045 |8 |Europe
WIND TRE S.P.A.|TELECOMMUNICATIONS SERVICES           |CORP|3,975,760           |1 ||   |Europe
INDUSTRIAL BANK OF KOREA|FINANCIALS|STATBODY|3,915,385           |1 ||   |Asia Ex-Japan
SINGAPORE           TELECOMMUNICATIONS LIMITED|TELECOMMUNICATIONS SERVICES           |CORP|3,842,308           |1 |39,500,000 |6 |Asia Ex-Japan
HITACHI, LTD.|INDUSTRIALS|CORP|3,830,308           |1 |12,254,310 |3 |Japan
CROWN EUROPEAN HOLDINGS|INDUSTRIALS|CORP|3,780,621           |2 |49,015,519 |25 |Europe
VODAFONE WEST GMBH|TELECOMMUNICATIONS SERVICES           |CORP|3,766,830           |1 |12,461,765 |10 |Europe
TOKYO ELECTRIC POWER           COMPANY HOLDINGS, INCORPORATED           |UTILITIES|CORP|3,760,111           |1 |56,404,590 |10 |Japan
SUMITOMO CHEMICAL COMPANY,           LIMITED|BASIC MATERIALS|CORP|3,699,943           |1 |23,552,610 |4 |Japan
KT CORPORATION|TELECOMMUNICATIONS SERVICES           |CORP|3,680,769           |1 |46,700,000 |6 |Asia Ex-Japan
DUBAI|GOVERNMENT|STATE|3,680,577           |1 |39,400,000 |8 |Europe
MALAYAN BANKING BERHAD|FINANCIALS|CORP|3,653,846           |1 ||   |Asia Ex-Japan
STATE OIL COMPANY OF THE           AZERBAIJAN REPUBLIC|ENERGY|CORP|3,586,962           |1 |45,000,000 |32 |Europe
TEOLLISUUDEN VOIMA OYJ|UTILITIES|CORP|3,530,353           |1 |4,531,551 |2 |Europe
JAB HOLDINGS B.V.|FINANCIALS|CORP|3,485,808           |1 |90,631,016 |1 |Europe
THE ISRAEL ELECTRIC           CORPORATION LTD.|UTILITIES|CORP|3,471,154           |1 |25,400,000 |4 |Europe
SWIRE PACIFIC LIMITED|CONSUMER GOODS|CORP|3,423,077           |1 |61,000,000 |6 |Asia Ex-Japan
BOC AVIATION LIMITED|INDUSTRIALS|CORP|3,403,846           |1 |17,500,000 |2 |Asia Ex-Japan
NEC CORPORATION|TECHNOLOGY|CORP|3,370,687           |1 |10,516,110 |2 |Japan
BROOKFIELD ASSET           MANAGEMENT INC.|FINANCIALS|CORP|3,346,154           |1 ||   |Americas
PERUSAHAAN PERSEROAN           (PERSERO) PT PERUSAHAAN LISTRIK NEGARA           |UTILITIES|CORP|3,326,923           |1 |42,500,000 |6 |Asia Ex-Japan
CITIC LIMITED|FINANCIALS|CORP|3,292,308           |1 |38,700,000 |6 |Asia Ex-Japan
SONY GROUP CORPORATION|CONSUMER GOODS|CORP|3,268,735           |1 |17,468,910 |4 |Japan
CAPITAL ONE FINANCIAL           CORPORATION|FINANCIALS|CORP|3,196,154           |1 |16,200,000 |4 |Americas
SWEDBANK AB|FINANCIALS|CORP|3,176,007           |1 |2,379,064 |1 |Europe
EAST JAPAN RAILWAY COMPANY|INDUSTRIALS|CORP|3,175,558           |1 |43,455,000 |2 |Japan
FCC AQUALIA, S.A.|UTILITIES|CORP|3,154,700           |1 |40,783,957 |16 |Europe
HD SUPPLY, INC.|INDUSTRIALS|CORP|3,124,423           |4 |20,000,000 |40 |Americas
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|3,118,314           |1 |10,516,110 |2 |Japan
ESKOM HOLDINGS SOC LIMITED|UTILITIES|CORP|3,096,154           |1 |46,700,000 |8 |Europe
SCHAEFFLER FINANCE B.V.|CONSUMER GOODS|CORP|3,050,082           |1 |39,651,070 |6 |Europe
ELECTRICITY NORTH WEST           LIMITED|UTILITIES|CORP|3,050,082           |1 ||   |Europe
SUNAC CHINA HOLDINGS           LIMITED|FINANCIALS|CORP|2,961,538           |1 |74,000,000 |13 |Asia Ex-Japan
VALE SA|BASIC MATERIALS|CORP|2,860,000           |1 |1,650,000 |2 |Americas
LINDE GMBH|BASIC MATERIALS|CORP|2,797,361           |1 |40,783,957 |21 |Europe
INTERNATIONAL CONSOLIDATED           AIRLINES GROUP, S.A.|INDUSTRIALS|CORP|2,769,649           |1 |26,128,922 |12 |Europe
EOG RESOURCES, INC.|ENERGY|CORP|2,769,231           |1 |30,000,000 |2 |Americas
PETROLIAM NASIONAL BERHAD           (PETRONAS)|ENERGY|CORP|2,769,231           |1 |30,000,000 |4 |Asia Ex-Japan
KINGDOM OF THE NETHERLANDS|GOVERNMENT|SOV|2,737,094           |1 |28,500,000 |2 |Europe
POST HOLDINGS, INC.|CONSUMER GOODS|CORP|2,711,538           |1 |16,000,000 |7 |Americas
THE KOREA DEVELOPMENT BANK|GOVERNMENT|STATBODY|2,696,154           |1 |50,000,000 |2 |Asia Ex-Japan
ALTICE FRANCE HOLDING S.A.|TELECOMMUNICATIONS SERVICES           |CORP|2,537,233           |1 |24,391,072 |11 |Europe
CABLE & WIRELESS           LIMITED|TELECOMMUNICATIONS SERVICES           |CORP|2,495,272           |1 |20,806,615 |12 |Europe
WOORI BANK|FINANCIALS|CORP|2,488,462           |1 |17,500,000 |2 |Asia Ex-Japan
"PUBLIC JOINT STOCK COMPANY           ""OIL COMPANY ""LUKOIL"""|ENERGY|CORP|2,423,077           |1 |63,000,000 |5 |Europe
TIME WARNER CABLE, LLC|CONSUMER SERVICES|CORP|2,384,808           |1 ||   |Americas
STATE OF ILLINOIS|GOVERNMENT|MUNI|2,369,615           |1 |61,610,000 |22 |Americas
ROGERS COMMUNICATIONS INC.|TELECOMMUNICATIONS SERVICES           |CORP|2,346,154           |1 ||   |Americas
CAPGEMINI|TECHNOLOGY|CORP|2,331,134           |1 ||   |Europe
BANK OF MONTREAL|FINANCIALS|STATBODY|2,307,692           |1 ||   |Americas
ICICI BANK LIMITED|FINANCIALS|CORP|2,277,692           |1 |6,000,000 |1 |Asia Ex-Japan
STATE GRID CORPORATION OF           CHINA|UTILITIES|CORP|2,246,154           |1 |34,500,000 |19 |Asia Ex-Japan
AGILE GROUP HOLDINGS           LIMITED|FINANCIALS|CORP|2,230,769           |1 |29,000,000 |5 |Asia Ex-Japan
NATIONWIDE BUILDING           SOCIETY|FINANCIALS|CORP|2,178,630           |1 ||   |Europe
REGION OF MOLISE|GOVERNMENT|STATE|2,178,630           |1 ||   |Europe
CARE UK SOCIAL CARE           LIMITED|HEALTHCARE|CORP|2,143,772           |1 |6,230,882 |3 |Europe
CHINA AOYUAN GROUP LIMITED|FINANCIALS|CORP|2,115,385           |1 ||   |Asia Ex-Japan
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES           |CORP|2,115,385           |1 ||   |Asia Ex-Japan
DIAMOND SPORTS GROUP, LLC|CONSUMER SERVICES|CORP|2,108,308           |3 |16,650,000 |12 |Americas
ELI LILLY AND COMPANY|HEALTHCARE|CORP|2,076,923           |1 |3,000,000 |1 |Americas
FRESENIUS SE & CO.           KGAA|HEALTHCARE|CORP|2,063,163           |1 |24,187,152 |10 |Europe
KLEPIERRE|FINANCIALS|CORP|2,047,912           |1 ||   |Europe
NATIONAL WESTMINSTER BANK           PUBLIC LIMITED COMPANY|FINANCIALS|CORP|2,029,394           |1 |14,161,096 |7 |Europe
LONGFOR GROUP HOLDINGS           LIMITED|FINANCIALS|CORP|2,000,000           |1 |20,000,000 |3 |Asia Ex-Japan
REPUBLIC OF FINLAND|GOVERNMENT|SOV|1,998,658           |1 ||   |Europe
SANMINA CORPORATION|INDUSTRIALS|CORP|1,990,385           |1 |2,000,000 |2 |Americas
VERISURE MIDHOLDING AB|INDUSTRIALS|CORP|1,976,628           |1 |13,667,157 |7 |Europe
CORNING INCORPORATED|TECHNOLOGY|CORP|1,923,077           |1 |25,000,000 |1 |Americas
KINGDOM OF SWEDEN|GOVERNMENT|SOV|1,923,077           |1 ||   |Europe
THE BANK OF NOVA SCOTIA|FINANCIALS|STATBODY|1,923,077           |1 ||   |Americas
PT INDONESIA ASAHAN           ALUMINIUM PERSERO|BASIC MATERIALS|CORP|1,900,000           |1 |17,500,000 |2 |Asia Ex-Japan
MARATHON OIL CORPORATION|ENERGY|CORP|1,880,769           |1 |30,000,000 |4 |Americas
HELLENIC           TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|TELECOMMUNICATIONS SERVICES|CORP|1,878,023           |1 |9,063,102 |4 |Europe
CHINA ORIENT ASSET           MANAGEMENT (INTERNATIONAL) HOLDING LIMITED           |FINANCIALS|CORP|1,865,385           |1 |17,500,000 |2 |Asia Ex-Japan
MATTEL, INC.|CONSUMER GOODS|CORP|1,853,462           |1 |7,390,000 |6 |Americas
ABBOTT LABORATORIES|HEALTHCARE|CORP|1,807,692           |1 |7,000,000 |1 |Americas
EQUINIX, INC.|TECHNOLOGY|CORP|1,759,615           |1 |2,000,000 |2 |Americas
CIRSA FINANCE           INTERNATIONAL S.A R.L.|CONSUMER SERVICES|CORP|1,664,168           |1 |9,666,931 |4 |Europe
FUJITSU LIMITED|TECHNOLOGY|CORP|1,657,558           |1 |10,516,110 |2 |Japan
COOPER TIRE & RUBBER           COMPANY|CONSUMER GOODS|CORP|1,609,615           |1 |2,000,000 |1 |Americas
CHINA CINDA (HK) HOLDINGS           COMPANY LIMITED|FINANCIALS|CORP|1,596,154           |1 |17,500,000 |2 |Asia Ex-Japan
TK ELEVATOR HOLDCO GMBH|INDUSTRIALS|CORP|1,570,008           |1 |1,735,584 |1 |Europe
NATIONAL BANK OF CANADA|FINANCIALS|CORP|1,538,462           |1 ||   |Americas
SOUTHWESTERN ENERGY           COMPANY|ENERGY|CORP|1,538,462           |1 ||   |Americas
SINGAPORE AIRLINES LIMITED|INDUSTRIALS|CORP|1,527,544           |1 |39,716,136 |7 |Asia Ex-Japan
COUNTRY GARDEN HOLDINGS           COMPANY LIMITED|FINANCIALS|CORP|1,496,154           |1 |7,500,000 |3 |Asia Ex-Japan
TECHNIPFMC PLC|ENERGY|CORP|1,479,900           |1 |9,588,761 |7 |Europe
HUMANA INC.|HEALTHCARE|CORP|1,417,885           |1 |12,615,000 |2 |Americas
FIRST DATA CORPORATION|TECHNOLOGY|CORP|1,390,385           |1 |2,000,000 |2 |Americas
KINGFISHER PLC|CONSUMER SERVICES|CORP|1,363,823           |1 |4,871,417 |2 |Europe
SAFRAN|INDUSTRIALS|CORP|1,307,178           |1 ||   |Europe
NIDDA HEALTHCARE HOLDING           GMBH|HEALTHCARE|CORP|1,283,823           |1 |3,471,168 |2 |Europe
BANCO BPM SOCIETA' PER           AZIONI|FINANCIALS|CORP|1,281,035           |1 |5,664,439 |3 |Europe
FEDERAL REPUBLIC OF           NIGERIA|GOVERNMENT|SOV|1,280,769           |2 ||   |Europe
THE EXPORT-IMPORT BANK OF           CHINA|GOVERNMENT|CORP|1,269,231           |1 |28,000,000 |8 |Asia Ex-Japan
CREDIT SAISON CO., LTD.|FINANCIALS|CORP|1,203,369           |1 ||   |Japan
BANCO BRADESCO S.A.|FINANCIALS|CORP|1,192,308           |1 ||   |Americas
CHINA OVERSEAS LAND &           INVESTMENT LIMITED|FINANCIALS|CORP|1,192,308           |1 |5,000,000 |1 |Asia Ex-Japan
UPM-KYMMENE OYJ|BASIC MATERIALS|CORP|1,159,031           |1 |13,707,941 |8 |Europe
TAIWAN SEMICONDUCTOR           MANUFACTURING COMPANY LIMITED           |TECHNOLOGY|CORP|1,153,846           |1 |30,000,000 |2 |Asia Ex-Japan
A.P. MOLLER - MAERSK A/S|INDUSTRIALS|CORP|1,132,888           |1 |6,797,326 |2 |Europe
BAYERISCHE LANDESBANK|FINANCIALS|STATBODY|1,132,888           |1 |11,328,877 |2 |Europe
SHIMAO GROUP HOLDINGS           LIMITED|FINANCIALS|CORP|1,115,385           |1 |20,000,000 |5 |Asia Ex-Japan
TWDC ENTERPRISES 18 CORP.|CONSUMER SERVICES|CORP|1,105,769           |1 ||   |Americas
SCHLUMBERGER N.V.|ENERGY|CORP|1,102,387           |1 ||   |Americas
TRIONISTA HOLDCO GMBH|INDUSTRIALS|CORP|1,102,387           |1 ||   |Europe
REGION OF ABRUZZO|GOVERNMENT|STATE|1,089,315           |1 ||   |Europe
TECHEM GMBH|INDUSTRIALS|CORP|1,041,385           |1 ||   |Europe
"PUBLIC JOINT STOCK COMPANY           ""VIMPEL-COMMUNICATIONS"""|TELECOMMUNICATIONS SERVICES|CORP|961,538 |1 |10,000,000 |1 |Europe
ZF EUROPE FINANCE B.V.|CONSUMER GOODS|CORP|913,456 |1 |18,878,441 |7 |Europe
EG GLOBAL FINANCE PLC|CONSUMER SERVICES|CORP|874,328 |1 |3,473,434 |2 |Europe
SCANIA AKTIEBOLAG|INDUSTRIALS|CORP|871,452 |1 ||   |Europe
OMV AKTIENGESELLSCHAFT|ENERGY|CORP|871,452 |1 ||   |Europe
SVENSKA HANDELSBANKEN AB|FINANCIALS|CORP|827,879 |1 ||   |Europe
KOOKMIN BANK|FINANCIALS|CORP|796,154 |1 |20,000,000 |3 |Asia Ex-Japan
REPUBLIC OF LATVIA|GOVERNMENT|SOV|788,462 |1 |20,500,000 |6 |Europe
HASBRO, INC.|CONSUMER GOODS|CORP|769,231 |1 |20,000,000 |2 |Americas
THE COCA-COLA COMPANY|CONSUMER GOODS|CORP|769,231 |1 ||   |Americas
MUFG BANK, LTD.|FINANCIALS|CORP|769,231 |1 |10,000,000 |1 |Japan
STATE OF CALIFORNIA|GOVERNMENT|MUNI|769,231 |1 ||   |Americas
KINGDOM OF NORWAY|GOVERNMENT|SOV|769,231 |1 |10,000,000 |2 |Europe
REPUBLIC OF LITHUANIA|GOVERNMENT|SOV|769,231 |1 |20,000,000 |4 |Europe
REPUBLIC OF SERBIA|GOVERNMENT|SOV|769,231 |1 ||   |Europe
THE KANSAI ELECTRIC POWER           COMPANY, INCORPORATED|UTILITIES|CORP|739,872 |1 ||   |Japan
KINDER MORGAN ENERGY           PARTNERS, L.P.|ENERGY|CORP|734,615 |1 |5,300,000 |2 |Americas
CHINA MINMETALS           CORPORATION|BASIC MATERIALS|CORP|730,769 |1 |10,000,000 |1 |Asia Ex-Japan
MERCK           KOMMANDITGESELLSCHAFT AUF AKTIEN|HEALTHCARE|CORP|727,662 |1 |4,531,551 |1 |Europe
PUBLIC POWER CORPORATION           FINANCE PLC|UTILITIES|CORP|718,926 |1 |4,531,551 |2 |Europe
APPLE INC.|TECHNOLOGY|CORP|708,248 |1 ||   |Americas
EXELON GENERATION COMPANY,           LLC|UTILITIES|CORP|707,692 |1 |5,500,000 |2 |Americas
NEXI S.P.A.|FINANCIALS|CORP|699,950 |1 |6,869,831 |3 |Europe
UBER TECHNOLOGIES, INC.|TECHNOLOGY|CORP|676,923 |1 ||   |Americas
"JOINT STOCK COMPANY           ""RUSSIAN RAILWAYS"""|INDUSTRIALS|CORP|657,923 |1 |7,106,000 |4 |Europe
MICROSOFT CORPORATION|TECHNOLOGY|CORP|653,846 |1 |3,000,000 |1 |Americas
CNOOC LIMITED|ENERGY|CORP|615,385 |1 |15,000,000 |2 |Asia Ex-Japan
REPUBLIC OF COTE D'IVOIRE|GOVERNMENT|SOV|615,385 |1 ||   |Europe
BANCO DE SABADELL, S.A.|FINANCIALS|CORP|605,659 |1 |5,664,439 |2 |Europe
DILLARD'S, INC.|CONSUMER SERVICES|CORP|603,846 |1 ||   |Americas
XSTRATA LIMITED|BASIC MATERIALS|CORP|588,230 |1 ||   |Europe
CZECH REPUBLIC|GOVERNMENT|SOV|588,230 |1 ||   |Europe
WESFARMERS LIMITED|CONSUMER SERVICES|CORP|576,923 |1 ||   |Australia NZ
CORPORACION NACIONAL DEL           COBRE DE CHILE|BASIC MATERIALS|STATBODY|576,923 |1 ||   |Americas
KOREA ELECTRIC POWER           CORPORATION|UTILITIES|STATBODY|576,923 |1 |10,000,000 |1 |Asia Ex-Japan
ABERTIS INFRAESTRUCTURAS,           S.A.|INDUSTRIALS|CORP|549,015 |1 |14,274,385 |4 |Europe
NORBORD INC.|BASIC MATERIALS|CORP|546,154 |1 |2,000,000 |1 |Americas
PORSCHE AUTOMOBIL HOLDING           SE|CONSUMER GOODS|CORP|544,658 |1 ||   |Europe
CHINA NATIONAL PETROLEUM           CORPORATION|ENERGY|CORP|538,462 |1 |10,000,000 |1 |Asia Ex-Japan
YUZHOU GROUP HOLDINGS           COMPANY LIMITED|FINANCIALS|CORP|500,000 |1 |5,000,000 |2 |Asia Ex-Japan
EQM MIDSTREAM PARTNERS, LP|UTILITIES|CORP|490,385 |1 |6,750,000 |3 |Americas
CENTRAL JAPAN RAILWAY           COMPANY|CONSUMER SERVICES|CORP|467,977 |1 |6,083,700 |1 |Japan
KEB HANA BANK|FINANCIALS|CORP|461,538 |1 ||   |Asia Ex-Japan
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES           |CORP|461,538 |1 ||   |Asia Ex-Japan
DNB BANK ASA|FINANCIALS|CORP|435,726 |1 |11,328,877 |1 |Europe
INVESTOR AKTIEBOLAG|FINANCIALS|CORP|435,726 |1 |5,664,439 |1 |Europe
NATIXIS|FINANCIALS|CORP|435,726 |1 ||   |Europe
NOVARTIS AG|HEALTHCARE|CORP|435,726 |1 ||   |Europe
AMAZON.COM, INC.|CONSUMER SERVICES|CORP|403,846 |1 |2,000,000 |1 |Americas
AMERISOURCEBERGEN           CORPORATION|CONSUMER SERVICES|CORP|384,615 |1 |10,000,000 |1 |Americas
APT PIPELINES LIMITED|ENERGY|CORP|384,615 |1 |10,000,000 |2 |Australia NZ
GS CALTEX CORPORATION|ENERGY|CORP|384,615 |1 |10,000,000 |4 |Asia Ex-Japan
WOODSIDE PETROLEUM LTD.|ENERGY|CORP|384,615 |1 |10,000,000 |2 |Australia NZ
SUMITOMO MITSUI BANKING           CORPORATION|FINANCIALS|CORP|384,615 |1 |10,000,000 |1 |Japan
