Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
WHIRLPOOL CORPORATION|CONSUMER GOODS|CORP|69,396,354           |14 |428,950,000 |117 |Americas
UNITED STATES OF AMERICA|GOVERNMENT|SOV|69,380,657           |11 |8,836,524 |1 |Americas
COMCAST CORPORATION|CONSUMER SERVICES|CORP|69,363,662           |12 |364,480,000 |75 |Americas
VALERO ENERGY CORPORATION|ENERGY|CORP|68,300,008           |16 |226,055,000 |92 |Americas
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|68,205,356           |18 |434,717,660 |129 |Europe
TUI AG|CONSUMER SERVICES|CORP|68,137,568           |25 |457,452,531 |214 |Europe
STATE OF QATAR|GOVERNMENT|SOV|68,081,273           |9 |356,860,000 |52 |Europe
HP INC.|TECHNOLOGY|CORP|67,333,277           |13 |311,550,000 |85 |Americas
UNITED AIRLINES HOLDINGS,           INC.|INDUSTRIALS|CORP|65,914,385           |23 |426,055,000 |128 |Americas
ALTRIA GROUP, INC.|CONSUMER GOODS|CORP|65,842,978           |13 |525,517,219 |129 |Americas
CONTINENTAL           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|65,608,803           |12 |418,484,412 |100 |Europe
PRUDENTIAL PUBLIC LIMITED           COMPANY|FINANCIALS|CORP|65,055,170           |13 |387,801,439 |93 |Europe
PETROLEO BRASILEIRO S/A           PETROBRAS|ENERGY|CORP|64,908,807           |12 |526,537,800 |83 |Americas
IBERDROLA, S.A.|UTILITIES|CORP|64,255,386           |11 |328,971,329 |81 |Europe
VIVENDI SE|CONSUMER SERVICES|CORP|64,166,149           |12 |326,737,263 |86 |Europe
E.ON SE|UTILITIES|CORP|63,604,291           |9 |325,096,853 |44 |Europe
THE PROCTER & GAMBLE           COMPANY|CONSUMER GOODS|CORP|63,206,931           |8 |292,715,000 |51 |Americas
