Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
WOORI BANK|FINANCIALS|CORP|                                    24,505,769 |                                                 3 |                               125,000,000 |                                                11 |  Asia Ex-Japan  
XLIT LTD.|FINANCIALS|CORP|                                    11,986,369 |                                                 3 |                                 27,060,000 |                                                12 |  Americas  
ZURICH INSURANCE COMPANY LTD|FINANCIALS|CORP|                                    31,812,036 |                                                 7 |                               233,969,834 |                                                53 |  Europe  
ABBOTT LABORATORIES|HEALTHCARE|CORP|                                      3,076,923 |                                                 1 |                                              -    |                                                -    |  Americas  
AETNA INC.|HEALTHCARE|CORP|                                      5,696,216 |                                                 1 |                                   6,000,000 |                                                  1 |  Americas  
AMGEN INC.|HEALTHCARE|CORP|                                    39,591,062 |                                                 8 |                                 66,810,000 |                                                24 |  Americas  
ASTRAZENECA PLC|HEALTHCARE|CORP|                                    25,858,400 |                                                 4 |                                 87,935,335 |                                                22 |  Europe  
BAUSCH HEALTH COMPANIES INC.|HEALTHCARE|CORP|                                    18,537,500 |                                               11 |                               124,250,000 |                                                91 |  Americas  
BAXTER INTERNATIONAL INC.|HEALTHCARE|CORP|                                    25,774,754 |                                                 5 |                               206,860,000 |                                                37 |  Americas  
BAYER AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                    71,916,098 |                                               15 |                               578,311,018 |                                              126 |  Europe  
BOSTON SCIENTIFIC CORPORATION|HEALTHCARE|CORP|                                    30,895,562 |                                                 5 |                                 80,910,000 |                                                23 |  Americas  
BRISTOL-MYERS SQUIBB COMPANY|HEALTHCARE|CORP|                                    26,942,754 |                                                 5 |                                 67,365,000 |                                                26 |  Americas  
CARE UK HEALTH & SOCIAL CARE PLC|HEALTHCARE|CORP|                                         542,476 |                                                 1 |                                              -    |                                                -    |  Europe  
COMMUNITY HEALTH SYSTEMS, INC.|HEALTHCARE|CORP|                                    35,131,923 |                                               22 |                               368,700,000 |                                              261 |  Americas  
CONVATEC HEALTHCARE E S.A.|HEALTHCARE|CORP|                                         125,187 |                                                 1 |                                              -    |                                                -    |  Europe  
CVS HEALTH CORPORATION|CONSUMER SERVICES|CORP|                                    97,596,908 |                                               15 |                               290,360,000 |                                                67 |  Americas  
DAVITA INC.|HEALTHCARE|CORP|                                    12,003,462 |                                                 8 |                                 98,940,000 |                                                61 |  Americas  
ELI LILLY AND COMPANY|HEALTHCARE|CORP|                                      2,250,000 |                                                 1 |                                 10,000,000 |                                                  1 |  Americas  
FRESENIUS SE & CO. KGAA|HEALTHCARE|CORP|                                         550,822 |                                                 1 |                                      542,476 |                                                  1 |  Europe  
GLAXOSMITHKLINE PLC|HEALTHCARE|CORP|                                    14,712,282 |                                                 3 |                               119,887,163 |                                                26 |  Europe  
GRIFOLS, S.A.|HEALTHCARE|CORP|                                      7,106,434 |                                                 3 |                                 51,036,128 |                                                22 |  Europe  
HCA INC.|HEALTHCARE|CORP|                                    45,976,212 |                                               18 |                               384,925,000 |                                              171 |  Americas  
HUMANA INC.|HEALTHCARE|CORP|                                      1,480,769 |                                                 1 |                                              -    |                                                -    |  Americas  
JOHNSON & JOHNSON|HEALTHCARE|CORP|                                    65,691,630 |                                                 7 |                               180,004,000 |                                                32 |  Americas  
MCKESSON CORPORATION|CONSUMER SERVICES|CORP|                                    94,438,870 |                                               20 |                               476,830,000 |                                              108 |  Americas  
MERCK & CO., INC.|HEALTHCARE|CORP|                                         201,923 |                                                 1 |                                   5,250,000 |                                                  2 |  Americas  
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|HEALTHCARE|CORP|                                         333,831 |                                                 1 |                                              -    |                                                -    |  Europe  
NOVARTIS AG|HEALTHCARE|CORP|                                      1,783,911 |                                                 1 |                                 43,615,058 |                                                10 |  Europe  
PFIZER INC.|HEALTHCARE|CORP|                                    41,614,601 |                                                 5 |                               214,175,000 |                                                24 |  Americas  
QUEST DIAGNOSTICS INCORPORATED|HEALTHCARE|CORP|                                    15,057,101 |                                                 4 |                                 33,180,000 |                                                18 |  Americas  
ROCHE HOLDINGS, INC.|HEALTHCARE|CORP|                                         417,289 |                                                 1 |                                   7,377,672 |                                                  2 |  Europe  
SANOFI|HEALTHCARE|CORP|                                    30,176,983 |                                                 4 |                               155,614,622 |                                                20 |  Europe  
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                      8,059,939 |                                                 3 |                                 52,294,672 |                                                24 |  Europe  
TAKEDA PHARMACEUTICAL COMPANY LIMITED|HEALTHCARE|CORP|                                      6,860,718 |                                                 2 |                                   8,961,500 |                                                  4 |  Japan  
TENET HEALTHCARE CORPORATION|HEALTHCARE|CORP|                                    62,697,885 |                                               19 |                               434,330,000 |                                              157 |  Americas  
TEVA PHARMACEUTICAL INDUSTRIES LIMITED|HEALTHCARE|CORP|                                    54,825,558 |                                               27 |                               572,340,000 |                                              338 |  Americas  
UCB|HEALTHCARE|CORP|                                         312,967 |                                                 1 |                                              -    |                                                -    |  Europe  
UNILABS SUBHOLDING AB (PUBL)|HEALTHCARE|CORP|                                      8,378,748 |                                                 3 |                                 34,392,969 |                                                11 |  Europe  
UNITEDHEALTH GROUP INCORPORATED|HEALTHCARE|CORP|                                    17,226,139 |                                                 5 |                                 64,280,000 |                                                22 |  Americas  
UNIVERSAL HEALTH SERVICES, INC.|HEALTHCARE|CORP|                                    14,015,769 |                                                 5 |                                 52,410,000 |                                                43 |  Americas  
A.P. MOLLER - MAERSK A/S|INDUSTRIALS|CORP|                                         121,014 |                                                 1 |                                   2,278,399 |                                                  3 |  Europe  
ABERTIS INFRAESTRUCTURAS, S.A.|INDUSTRIALS|CORP|                                         292,645 |                                                 1 |                                              -    |                                                -    |  Europe  
ADECCO GROUP AG|INDUSTRIALS|CORP|                                      7,336,360 |                                                 2 |                                 20,516,437 |                                                10 |  Europe  
AIR FRANCE - KLM|INDUSTRIALS|CORP|                                    34,186,629 |                                                 9 |                               465,787,916 |                                              113 |  Europe  
AIRBUS SE|INDUSTRIALS|CORP|                                    82,759,155 |                                               14 |                               430,673,734 |                                                69 |  Europe  
AKTIEBOLAGET SKF|INDUSTRIALS|CORP|                                         177,348 |                                                 1 |                                              -    |                                                -    |  Europe  
AKTIEBOLAGET VOLVO|INDUSTRIALS|CORP|                                    46,424,069 |                                                 9 |                               256,660,972 |                                                81 |  Europe  
ALSTOM|INDUSTRIALS|CORP|                                      9,335,592 |                                                 2 |                                 73,147,444 |                                                18 |  Europe  
AMERICAN AIRLINES GROUP INC.|INDUSTRIALS|CORP|                                    37,656,377 |                                               12 |                               448,450,000 |                                              116 |  Americas  
ANA HOLDINGS INC.|INDUSTRIALS|CORP|                                    18,993,179 |                                                 4 |                                 80,295,040 |                                                15 |  Japan  
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                    28,939,984 |                                                 8 |                               121,929,767 |                                                40 |  Europe  
ATLANTIA S.P.A.|INDUSTRIALS|CORP|                                    79,095,589 |                                               25 |                               841,666,778 |                                              280 |  Europe  
AURIZON NETWORK PTY LTD|INDUSTRIALS|CORP|                                           61,538 |                                                 1 |                                   1,600,000 |                                                  1 |  Australia NZ  
BAE SYSTEMS PLC|INDUSTRIALS|CORP|                                    40,706,247 |                                                 7 |                               131,546,339 |                                                42 |  Europe  
BALL CORPORATION|INDUSTRIALS|CORP|                                    11,140,281 |                                                 6 |                               109,387,672 |                                                62 |  Americas  
BOMBARDIER INC.|INDUSTRIALS|CORP|                                  120,255,831 |                                               39 |                             1,015,424,000 |                                              473 |  Americas  
BOUYGUES|INDUSTRIALS|CORP|                                    26,900,420 |                                                 7 |                                 79,615,356 |                                                35 |  Europe  
BRISA - CONCESSAO RODOVIARIA, S.A.|INDUSTRIALS|CORP|                                         292,102 |                                                 1 |                                   7,594,662 |                                                  1 |  Europe  
BRITISH AIRWAYS PLC|INDUSTRIALS|CORP|                                         528,288 |                                                 1 |                                 10,480,633 |                                                  5 |  Europe  
BURLINGTON NORTHERN SANTA FE, LLC|INDUSTRIALS|CORP|                                         142,308 |                                                 1 |                                              -    |                                                -    |  Americas  
CATERPILLAR INC.|INDUSTRIALS|CORP|                                    45,136,760 |                                                 8 |                               238,674,759 |                                                61 |  Americas  
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|INDUSTRIALS|CORP|                                         119,231 |                                                 1 |                                      200,000 |                                                  1 |  Americas  
CERVED GROUP S.P.A.|INDUSTRIALS|CORP|                                         121,431 |                                                 1 |                                   1,529,782 |                                                  1 |  Europe  
CMA CGM|INDUSTRIALS|CORP|                                  111,228,596 |                                               33 |                             1,249,826,291 |                                              308 |  Europe  
CNH INDUSTRIAL N.V.|INDUSTRIALS|CORP|                                    55,202,517 |                                               16 |                               207,142,233 |                                                84 |  Europe  
COMPAGNIE DE SAINT-GOBAIN|INDUSTRIALS|CORP|                                    55,808,244 |                                                 9 |                               479,618,821 |                                                71 |  Europe  
CSX CORPORATION|INDUSTRIALS|CORP|                                    22,646,346 |                                                 4 |                               126,720,000 |                                                19 |  Americas  
DANAHER CORPORATION|INDUSTRIALS|CORP|                                      4,615,385 |                                                 1 |                                 45,000,000 |                                                  2 |  Americas  
DEERE & COMPANY|INDUSTRIALS|CORP|                                    42,359,808 |                                                 6 |                               122,510,000 |                                                40 |  Americas  
DELTA AIR LINES, INC.|INDUSTRIALS|CORP|                                      4,390,385 |                                                 1 |                                 27,750,000 |                                                  9 |  Americas  
DELUXE CORPORATION|INDUSTRIALS|CORP|                                         307,692 |                                                 1 |                                              -    |                                                -    |  Americas  
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                    71,339,179 |                                               14 |                               400,227,820 |                                                97 |  Europe  
DEUTSCHE POST AG|INDUSTRIALS|CORP|                                      7,089,742 |                                                 1 |                                   5,641,749 |                                                  6 |  Europe  
DMG MORI CO., LTD.|INDUSTRIALS|CORP|                                      1,757,833 |                                                 1 |                                   9,857,650 |                                                  2 |  Japan  
DOVER CORPORATION|INDUSTRIALS|CORP|                                         184,615 |                                                 1 |                                   4,800,000 |                                                  2 |  Americas  
DP WORLD PLC|INDUSTRIALS|CORP|                                         961,538 |                                                 1 |                                 10,000,000 |                                                10 |  Europe  
DRY MIX SOLUTIONS INVESTISSEMENTS|INDUSTRIALS|CORP|                                         333,831 |                                                 1 |                                              -    |                                                -    |  Europe  
EATON CORPORATION|INDUSTRIALS|CORP|                                         384,615 |                                                 1 |                                              -    |                                                -    |  Americas  
ELIS|INDUSTRIALS|CORP|                                    11,626,927 |                                                 6 |                                 72,474,774 |                                                40 |  Europe  
EMIRATES|INDUSTRIALS|CORP|                                         326,923 |                                                 1 |                                              -    |                                                -    |  Europe  
EXPERIAN FINANCE PLC|INDUSTRIALS|CORP|                                    12,819,956 |                                                 2 |                               121,102,309 |                                                  9 |  Europe  
FEDEX CORPORATION|INDUSTRIALS|CORP|                                      1,676,923 |                                                 1 |                                 28,200,000 |                                                  4 |  Americas  
FIRST DATA CORPORATION|TECHNOLOGY|CORP|                                      5,727,500 |                                                 2 |                                 13,140,000 |                                                  9 |  Americas  
GENERAL ELECTRIC COMPANY|INDUSTRIALS|CORP|                                  379,380,911 |                                             103 |                             2,746,624,648 |                                              419 |  Americas  
GUANGZHOU R&F PROPERTIES CO., LTD.|INDUSTRIALS|CORP|                                         576,923 |                                                 1 |                                 15,000,000 |                                                  1 |  Asia Ex-Japan  
HAPAG-LLOYD AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                    19,051,090 |                                                 7 |                                 95,318,079 |                                                36 |  Europe  
HD SUPPLY, INC.|INDUSTRIALS|CORP|                                    11,046,154 |                                                 8 |                                 85,750,000 |                                                53 |  Americas  
HEATHROW FUNDING LIMITED|INDUSTRIALS|CORP|                                    25,829,705 |                                                 7 |                               227,878,565 |                                                50 |  Europe  
HEIDELBERGCEMENT AG|INDUSTRIALS|CORP|                                    53,315,809 |                                               13 |                               353,296,799 |                                                93 |  Europe  
HITACHI, LTD.|INDUSTRIALS|CORP|                                    14,956,855 |                                                 3 |                               100,010,340 |                                                22 |  Japan  
HOCHTIEF AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                      3,350,822 |                                                 1 |                                 27,873,793 |                                                18 |  Europe  
HONEYWELL INTERNATIONAL INC.|INDUSTRIALS|CORP|                                    17,128,692 |                                                 4 |                                 21,870,000 |                                                20 |  Americas  
INGERSOLL-RAND COMPANY|INDUSTRIALS|CORP|                                    19,707,423 |                                                 5 |                               104,644,000 |                                                30 |  Americas  
INTERNATIONAL LEASE FINANCE CORPORATION|INDUSTRIALS|CORP|                                    24,961,626 |                                                 6 |                               138,415,000 |                                                39 |  Americas  
ITOCHU CORPORATION|INDUSTRIALS|CORP|                                    17,290,608 |                                                 4 |                                 92,841,140 |                                                22 |  Japan  
JETBLUE AIRWAYS CORPORATION|INDUSTRIALS|CORP|                                         192,308 |                                                 1 |                                              -    |                                                -    |  Americas  
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY|INDUSTRIALS|CORP|                                    12,759,269 |                                                 3 |                                 39,060,000 |                                                11 |  Americas  
KAJIMA CORPORATION|INDUSTRIALS|CORP|                                      1,474,975 |                                                 1 |                                   2,419,605 |                                                  2 |  Japan  
KAWASAKI HEAVY INDUSTRIES, LTD.|INDUSTRIALS|CORP|                                    17,967,133 |                                                 4 |                                 31,365,250 |                                                  8 |  Japan  
KAWASAKI KISEN KAISHA, LTD.|INDUSTRIALS|CORP|                                    17,182,080 |                                                 6 |                                 74,021,990 |                                                28 |  Japan  
KINTETSU GROUP HOLDINGS CO., LTD.|INDUSTRIALS|CORP|                                      8,046,393 |                                                 2 |                                 15,682,625 |                                                  6 |  Japan  
KOMATSU LTD.|INDUSTRIALS|CORP|                                      6,681,488 |                                                 2 |                                 29,393,720 |                                                  8 |  Japan  
LAFARGE|INDUSTRIALS|CORP|                                      5,261,598 |                                                 1 |                                   5,956,385 |                                                  7 |  Europe  
LAFARGEHOLCIM LTD|INDUSTRIALS|CORP|                                    82,190,718 |                                               22 |                               214,610,241 |                                              106 |  Europe  
LEONARDO SOCIETA' PER AZIONI|INDUSTRIALS|CORP|                                    38,175,950 |                                               11 |                               203,612,886 |                                                65 |  Europe  
LOCKHEED MARTIN CORPORATION|INDUSTRIALS|CORP|                                    19,468,885 |                                                 3 |                                 58,810,000 |                                                16 |  Americas  
LOXAM|INDUSTRIALS|CORP|                                    40,382,698 |                                               15 |                               462,486,037 |                                              159 |  Europe  
METSO OYJ|INDUSTRIALS|CORP|                                         130,194 |                                                 1 |                                   3,385,049 |                                                  1 |  Europe  
MITSUBISHI HEAVY INDUSTRIES, LTD.|INDUSTRIALS|CORP|                                    10,286,768 |                                                 3 |                                 41,222,900 |                                                12 |  Japan  
MITSUI O.S.K. LINES, LTD.|INDUSTRIALS|CORP|                                    62,112,158 |                                               14 |                               390,766,208 |                                                92 |  Japan  
