Reference EntityAIR PRODUCTS AND CHEMICALS, INC.|SectorBASIC MATERIALS|Market TypeCORP|Average Weekly Notional (USD EQ)                                          161,538 |Average Number of Trades/Week                                                  1 |Notional traded in prior 8 Weeks                                               -    |Contracts traded in prior 8 Weeks                                                 -    |DC Region  Americas  
BOPARAN FINANCE PLC|CONSUMER GOODS|CORP|                                    22,035,461 |                                               12 |                               221,195,613 |                                              110 |  Europe  
BORGWARNER INC.|CONSUMER GOODS|CORP|                                      3,884,615 |                                                 1 |                                   3,000,000 |                                                  1 |  Americas  
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                    64,786,394 |                                               10 |                               397,514,667 |                                                98 |  Europe  
BRUNSWICK CORPORATION|INDUSTRIALS|CORP|                                           96,154 |                                                 1 |                                   1,000,000 |                                                  1 |  Americas  
CAMPBELL SOUP COMPANY|CONSUMER GOODS|CORP|                                    48,312,254 |                                               13 |                                 96,085,000 |                                                44 |  Americas  
CARLSBERG BREWERIES A/S|CONSUMER GOODS|CORP|                                    27,606,012 |                                                 5 |                               109,900,182 |                                                30 |  Europe  
COMPAGNIE FINANCIERE MICHELIN SCMA|CONSUMER GOODS|CORP|                                    17,308,735 |                                                 5 |                                 56,352,391 |                                                24 |  Europe  
CONAGRA BRANDS, INC.|CONSUMER GOODS|CORP|                                    66,831,062 |                                               13 |                               260,031,000 |                                                86 |  Americas  
CONSTELLATION BRANDS, INC.|CONSUMER GOODS|CORP|                                         326,923 |                                                 1 |                                              -    |                                                -    |  Americas  
CONTINENTAL AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                    47,642,649 |                                               10 |                               252,853,418 |                                                66 |  Europe  
COOPER TIRE & RUBBER COMPANY|CONSUMER GOODS|CORP|                                      3,904,692 |                                                 2 |                                 28,501,000 |                                                14 |  Americas  
D.R. HORTON, INC.|CONSUMER GOODS|CORP|                                    39,884,077 |                                                 7 |                               106,620,000 |                                                33 |  Americas  
DAIMLER AG|CONSUMER GOODS|CORP|                                  203,229,444 |                                               31 |                             1,530,519,941 |                                              222 |  Europe  
DANONE|CONSUMER GOODS|CORP|                                    22,305,856 |                                                 4 |                               267,167,632 |                                                42 |  Europe  
DEAN FOODS COMPANY|CONSUMER GOODS|CORP|                                    24,353,038 |                                               18 |                                              -    |                                                -    |  Americas  
DIAGEO PLC|CONSUMER GOODS|CORP|                                    29,227,347 |                                                 5 |                                 79,407,615 |                                                20 |  Europe  
FIAT CHRYSLER AUTOMOBILES N.V.|CONSUMER GOODS|CORP|                                  108,777,484 |                                               28 |                               779,771,485 |                                              218 |  Europe  
FORD MOTOR COMPANY|CONSUMER GOODS|CORP|                                  205,255,619 |                                               48 |                               997,128,000 |                                              272 |  Americas  
FRONERI INTERNATIONAL LIMITED|CONSUMER GOODS|CORP|                                         125,187 |                                                 1 |                                              -    |                                                -    |  Europe  
GENERAL MILLS, INC.|CONSUMER GOODS|CORP|                                    48,440,947 |                                                 9 |                                 89,560,000 |                                                33 |  Americas  
GENERAL MOTORS COMPANY|CONSUMER GOODS|CORP|                                  127,855,106 |                                               32 |                               609,330,500 |                                              215 |  Americas  
GKN HOLDINGS LIMITED|CONSUMER GOODS|CORP|                                    16,010,921 |                                                 4 |                                 69,058,546 |                                                31 |  Europe  
HEINEKEN N.V.|CONSUMER GOODS|CORP|                                    21,892,985 |                                                 5 |                                 41,781,490 |                                                  6 |  Europe  
HENKEL AG & CO. KGAA|CONSUMER GOODS|CORP|                                    24,207,776 |                                                 3 |                               156,124,550 |                                                19 |  Europe  
HONDA MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                      5,244,201 |                                                 1 |                                 30,917,175 |                                                  5 |  Japan  
HYUNDAI MOTOR COMPANY|CONSUMER GOODS|CORP|                                    11,151,923 |                                                 1 |                                 53,700,000 |                                                  8 |  Asia Ex-Japan  
IMPERIAL BRANDS PLC|CONSUMER GOODS|CORP|                                    60,643,611 |                                               12 |                               481,687,211 |                                              100 |  Europe  
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                  147,834,790 |                                               36 |                             1,131,392,386 |                                              312 |  Europe  
JBS S.A.|CONSUMER GOODS|CORP|                                         846,154 |                                                 1 |                                              -    |                                                -    |  Americas  
JTI (UK) FINANCE LIMITED|CONSUMER GOODS|CORP|                                         236,603 |                                                 1 |                                   4,415,753 |                                                  1 |  Europe  
K. HOVNANIAN ENTERPRISES, INC.|CONSUMER GOODS|CORP|                                    19,815,874 |                                               15 |                               110,349,720 |                                                87 |  Americas  
KB HOME|CONSUMER GOODS|CORP|                                    49,295,000 |                                               17 |                               273,119,000 |                                              116 |  Americas  
KELLOGG COMPANY|CONSUMER GOODS|CORP|                                           38,462 |                                                 1 |                                              -    |                                                -    |  Americas  
KIA MOTORS CORP.|CONSUMER GOODS|CORP|                                         230,769 |                                                 1 |                                   6,000,000 |                                                  2 |  Asia Ex-Japan  
KIMBERLY-CLARK CORPORATION|CONSUMER GOODS|CORP|                                         769,231 |                                                 1 |                                              -    |                                                -    |  Americas  
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|                                    15,263,601 |                                                 4 |                                 42,573,505 |                                                14 |  Europe  
KRAFT HEINZ FOODS COMPANY|CONSUMER GOODS|CORP|                                    79,466,254 |                                               23 |                               625,866,000 |                                              168 |  Americas  
LAMB WESTON HOLDINGS, INC.|CONSUMER GOODS|CORP|                                      6,609,058 |                                                 4 |                                 49,250,000 |                                                45 |  Americas  
LENNAR CORPORATION|CONSUMER GOODS|CORP|                                    66,885,570 |                                               24 |                               521,033,000 |                                              218 |  Americas  
LEVI STRAUSS & CO.|CONSUMER GOODS|CORP|                                      2,230,000 |                                                 1 |                                   3,200,000 |                                                  4 |  Americas  
LG DISPLAY CO., LTD.|CONSUMER GOODS|CORP|                                      7,076,923 |                                                 1 |                                 10,000,000 |                                                  1 |  Asia Ex-Japan  
