Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                       3,431,707,361 |Average Number of Trades/Week                                                                    420 |Notional traded in prior 8 Weeks                                        26,304,137,136 |Contracts traded in prior 8 Weeks                                                                 3,445 |DC Region Americas           
L'AIR LIQUIDE SOCIETE ANONYME POUR           L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|BASIC MATERIALS|CORP|                                                             8,942,286 |                                                                       1 |                                             15,091,712           |                                                                      2 | Europe           |
KINGDOM OF NORWAY|GOVERNMENT|SOV|                                                             8,846,154 |                                                                       1 |                                           170,000,000 |                                                                    10 | Europe           |
THE HONGKONG LAND COMPANY, LIMITED|FINANCIALS|CORP|                                                             8,799,038 |                                                                       2 |                                             39,825,000           |                                                                    12 | Asia Ex-Japan           |
DEUTSCHE POST AG|INDUSTRIALS|CORP|                                                             8,639,782 |                                                                       1 |                                             12,769,910           |                                                                      3 | Europe           |
MITSUBISHI CORPORATION|BASIC MATERIALS|CORP|                                                             8,585,990 |                                                                       2 |                                             35,197,827           |                                                                    10 | Japan           |
CNOOC LIMITED|ENERGY|CORP|                                                             8,554,423 |                                                                       2 |                                             17,625,000           |                                                                    10 | Asia Ex-Japan           |
SWEDBANK AB|FINANCIALS|CORP|                                                             8,504,202 |                                                                       2 |                                             40,631,532           |                                                                      8 | Europe           |
VATTENFALL AB|UTILITIES|CORP|                                                             8,503,979 |                                                                       1 |                                             36,452,288           |                                                                    11 | Europe           |
DOMINION ENERGY, INC.|UTILITIES|CORP|                                                             8,290,855 |                                                                       2 |                                             34,303,226           |                                                                    13 | Americas           |
THALES|INDUSTRIALS|CORP|                                                             8,273,445 |                                                                       1 |                                           140,231,465 |                                                                    11 | Europe           |
UPM-KYMMENE OYJ|BASIC MATERIALS|CORP|                                                             8,249,800 |                                                                       2 |                                             61,992,108           |                                                                    17 | Europe           |
WOODSIDE PETROLEUM LTD.|ENERGY|CORP|                                                             8,219,231 |                                                                       1 |                                             54,300,000           |                                                                      6 | Australia NZ           |
POLYONE CORPORATION|BASIC MATERIALS|CORP|                                                             8,186,538 |                                                                       2 |                                             36,100,000           |                                                                    12 | Americas           |
MITSUBISHI HEAVY INDUSTRIES, LTD.|INDUSTRIALS|CORP|                                                             8,172,420 |                                                                       1 |                                             39,598,680           |                                                                    10 | Japan           |
OVERSEA-CHINESE BANKING CORPORATION           LIMITED|FINANCIALS|CORP|                                                             8,015,577 |                                                                       2 |                                             20,255,000           |                                                                    12 | Asia Ex-Japan           |
CISCO SYSTEMS, INC.|TECHNOLOGY|CORP|                                                             7,830,769 |                                                                       2 |                                                         5,000,000 |                                                                      1 | Americas           |
NOVA CHEMICALS CORPORATION|BASIC MATERIALS|CORP|                                                             7,799,231 |                                                                       2 |                                             48,300,000           |                                                                    11 | Americas           |
TELSTRA CORPORATION LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                                             7,691,666 |                                                                       1 |                                             27,100,000           |                                                                      4 | Australia NZ           |
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|                                                             7,643,462 |                                                                       2 |                                                         7,100,000 |                                                                      4 | Americas           |
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                                             7,618,763 |                                                                       2 |                                             45,778,792           |                                                                    10 | Europe           |
UNIVERSAL HEALTH SERVICES, INC.|HEALTHCARE|CORP|                                                             7,549,231 |                                                                       4 |                                             71,990,000           |                                                                    26 | Americas           |
DELTA AIR LINES, INC.|INDUSTRIALS|CORP|                                                             7,459,615 |                                                                       2 |                                             48,900,000           |                                                                    14 | Americas           |
KEB HANA BANK|FINANCIALS|CORP|                                                             7,399,038 |                                                                       1 |                                             21,025,000           |                                                                      8 | Asia Ex-Japan           |
LAMB WESTON HOLDINGS, INC.|CONSUMER GOODS|CORP|                                                             7,373,269 |                                                                       2 |                                             25,500,000           |                                                                      6 | Americas           |
KINTETSU GROUP HOLDINGS CO., LTD.|INDUSTRIALS|CORP|                                                             7,335,075 |                                                                       2 |                                             67,497,750           |                                                                    13 | Japan           |
HUTCHISON WHAMPOA LIMITED|CONSUMER SERVICES|CORP|                                                             7,256,991 |                                                                       2 |                                             57,825,000           |                                                                    20 | Asia Ex-Japan           |
EXELON GENERATION COMPANY, LLC|UTILITIES|CORP|                                                             7,167,231 |                                                                       2 |                                             68,600,000           |                                                                      7 | Americas           |
ENBW ENERGIE BADEN-WUERTTEMBERG AG|UTILITIES|CORP|                                                             7,020,325 |                                                                       2 |                                             23,218,018           |                                                                      6 | Europe           |
ADECCO GROUP AG|INDUSTRIALS|CORP|                                                             6,997,821 |                                                                       2 |                                             10,796,378           |                                                                      2 | Europe           |
HAMMERSON PLC|FINANCIALS|CORP|                                                             6,979,365 |                                                                       1 |                                             11,609,009           |                                                                      1 | Europe           |
OWENS-ILLINOIS, INC.|INDUSTRIALS|CORP|                                                             6,861,538 |                                                                       2 |                                             53,600,000           |                                                                      8 | Americas           |
HAPAG-LLOYD AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                                             6,847,602 |                                                                       2 |                                             50,743,977           |                                                                    28 | Europe           |
SUMITOMO REALTY & DEVELOPMENT CO.,           LTD.|FINANCIALS|CORP|                                                             6,742,883 |                                                                       3 |                                             62,830,351           |                                                                    37 | Japan           |
KINGFISHER PLC|CONSUMER SERVICES|CORP|                                                             6,701,970 |                                                                       2 |                                             54,388,207           |                                                                    17 | Europe           |
STMICROELECTRONICS N.V.|TECHNOLOGY|CORP|                                                             6,682,288 |                                                                       2 |                                             77,832,601           |                                                                    10 | Europe           |
SAMSUNG ELECTRONICS CO., LTD.|TECHNOLOGY|CORP|                                                             6,649,038 |                                                                       1 |                                             60,825,000           |                                                                    11 | Asia Ex-Japan           |
DUBAI|GOVERNMENT|STATE|                                                             6,607,692 |                                                                       2 |                                             79,900,000           |                                                                    15 | Europe           |
ARAB REPUBLIC OF EGYPT|GOVERNMENT|SOV|                                                             6,606,159 |                                                                       3 |                                             21,100,000           |                                                                    16 | Europe           |
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|                                                             6,468,558 |                                                                       1 |                                             25,919,136           |                                                                      8 | Japan           |
UNITED OVERSEAS BANK LIMITED|FINANCIALS|CORP|                                                             6,429,808 |                                                                       2 |                                             39,025,000           |                                                                      8 | Asia Ex-Japan           |
PIONEER NATURAL RESOURCES COMPANY|ENERGY|CORP|                                                             6,426,923 |                                                                       1 |                                                           100,000 |                                                                      1 | Americas           |
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL           DE CAPITAL VARIABLE|TELECOMMUNICATIONS SERVICES|CORP|                                                             6,405,405 |                                                                       1 |                                                         8,800,000 |                                                                      3 | Americas           |
MARATHON OIL CORPORATION|ENERGY|CORP|                                                             6,363,356 |                                                                       2 |                                             28,200,000           |                                                                    12 | Americas           |
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|HEALTHCARE|CORP|                                                             6,353,111 |                                                                       1 |                                             12,000,000           |                                                                      1 | Europe           |
SWIRE PACIFIC LIMITED|FINANCIALS|CORP|                                                             6,327,372 |                                                                       2 |                                             36,025,000           |                                                                    10 | Asia Ex-Japan           |
LENDLEASE CORPORATION LIMITED|INDUSTRIALS|CORP|                                                             6,326,923 |                                                                       1 |                                             39,300,000           |                                                                      6 | Australia NZ           |
CARE UK HEALTH & SOCIAL CARE PLC|HEALTHCARE|CORP|                                                             6,325,162 |                                                                       5 |                                             26,008,650           |                                                                    14 | Europe           |
SOCIALIST REPUBLIC OF VIETNAM|GOVERNMENT|SOV|                                                             6,301,103 |                                                                       1 |                                             28,828,690           |                                                                    20 | Asia Ex-Japan           |
THE COCA-COLA COMPANY|CONSUMER GOODS|CORP|                                                             6,292,308 |                                                                       1 |                                                                    -   |                                                                     -   | Americas           |
WESFARMERS LIMITED|CONSUMER SERVICES|CORP|                                                             6,273,077 |                                                                       1 |                                             26,000,000           |                                                                      4 | Australia NZ           |
CIGNA CORPORATION|HEALTHCARE|CORP|                                                             6,234,615 |                                                                       2 |                                                         6,200,000 |                                                                      2 | Americas           |
HUNGARY|GOVERNMENT|SOV|                                                             6,218,462 |                                                                       1 |                                                         8,500,000 |                                                                      3 | Europe           |
ROMANIA|GOVERNMENT|SOV|                                                             6,213,936 |                                                                       1 |                                             51,312,337           |                                                                      9 | Europe           |
HOCHTIEF AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                                             6,131,904 |                                                                       2 |                                             45,019,824           |                                                                    24 | Europe           |
LOUISIANA-PACIFIC CORPORATION|CONSUMER GOODS|CORP|                                                             6,125,385 |                                                                       3 |                                                         8,000,000 |                                                                      2 | Americas           |
REPUBLIC OF POLAND|GOVERNMENT|SOV|                                                             6,123,801 |                                                                       1 |                                                         4,821,802 |                                                                      2 | Europe           |
FUJITSU LIMITED|TECHNOLOGY|CORP|                                                             6,115,066 |                                                                       1 |                                             20,429,319           |                                                                      6 | Japan           |
MITSUBISHI CHEMICAL CORPORATION|BASIC MATERIALS|CORP|                                                             6,066,800 |                                                                       1 |                                                                    -   |                                                                     -   | Japan           |
NATIONAL WESTMINSTER BANK PUBLIC LIMITED           COMPANY|FINANCIALS|CORP|                                                             6,048,629 |                                                                       1 |                                           154,362,090 |                                                                    36 | Europe           |
HYUNDAI CAPITAL AMERICA|FINANCIALS|CORP|                                                             6,038,462 |                                                                       1 |                                           157,000,000 |                                                                      3 | Asia Ex-Japan           |
THE ISRAEL ELECTRIC CORPORATION LTD.|UTILITIES|CORP|                                                             5,914,846 |                                                                       1 |                                             69,041,000           |                                                                    12 | Europe           |
TECHNIPFMC PLC|ENERGY|CORP|                                                             5,888,714 |                                                                       1 |                                             34,926,864           |                                                                      7 | Europe           |
TECHEM GMBH|INDUSTRIALS|CORP|                                                             5,878,801 |                                                                       2 |                                             20,273,712           |                                                                    13 | Europe           |
MURPHY OIL CORPORATION|ENERGY|CORP|                                                             5,844,038 |                                                                       5 |                                             14,650,000           |                                                                    13 | Americas           |
STATE STREET CORPORATION|FINANCIALS|CORP|                                                             5,769,231 |                                                                       1 |                                                                    -   |                                                                     -   |  |
CMS ENERGY CORPORATION|UTILITIES|CORP|                                                             5,750,654 |                                                                       3 |                                                                    -   |                                                                     -   | Americas           |
DILLARD'S, INC.|CONSUMER SERVICES|CORP|                                                             5,700,000 |                                                                       2 |                                             36,100,000           |                                                                      8 | Americas           |
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES|CORP|                                                             5,684,615 |                                                                       1 |                                           105,950,000 |                                                                    13 | Asia Ex-Japan           |
SUMITOMO CHEMICAL COMPANY, LIMITED|BASIC MATERIALS|CORP|                                                             5,672,008 |                                                                       2 |                                             26,999,100           |                                                                    14 | Japan           |
HITACHI, LTD.|INDUSTRIALS|CORP|                                                             5,666,139 |                                                                       1 |                                             25,739,142           |                                                                      7 | Japan           |
WENDY'S INTERNATIONAL, LLC|CONSUMER SERVICES|CORP|                                                             5,633,462 |                                                                       1 |                                             77,500,000           |                                                                      7 | Americas           |
CAPITALAND LIMITED|FINANCIALS|CORP|                                                             5,533,654 |                                                                       2 |                                             88,125,000           |                                                                    22 | Asia Ex-Japan           |
CROWN RESORTS LIMITED|CONSUMER SERVICES|CORP|                                                             5,492,308 |                                                                       1 |                                                         6,000,000 |                                                                      1 | Australia NZ           |
SYNGENTA AG|BASIC MATERIALS|CORP|                                                             5,489,983 |                                                                       2 |                                             33,147,342           |                                                                    14 | Europe           |
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                                             5,483,654 |                                                                       1 |                                             24,325,000           |                                                                      9 | Asia Ex-Japan           |
SCANIA AKTIEBOLAG|INDUSTRIALS|CORP|                                                             5,358,004 |                                                                       1 |                                                                    -   |                                                                     -   | Europe           |
PROLOGIS, L.P.|FINANCIALS|CORP|                                                             5,300,000 |                                                                       2 |                                                                    -   |                                                                     -   | Americas           |
ARAMARK SERVICES, INC.|CONSUMER SERVICES|CORP|                                                             5,203,846 |                                                                       1 |                                             51,100,000           |                                                                    13 | Americas           |
UNIVISION COMMUNICATIONS INC.|CONSUMER SERVICES|CORP|                                                             5,093,846 |                                                                       1 |                                             31,000,000           |                                                                      3 | Americas           |
BORGWARNER INC.|CONSUMER GOODS|CORP|                                                             5,000,000 |                                                                       1 |                                                         7,000,000 |                                                                      2 | Americas           |
REPUBLIC OF KAZAKHSTAN|GOVERNMENT|SOV|                                                             4,972,270 |                                                                       1 |                                             21,000,000           |                                                                      6 | Europe           |
SAFEWAY LIMITED|CONSUMER SERVICES|CORP|                                                             4,970,219 |                                                                       2 |                                                         8,706,757 |                                                                      6 | Europe           |
IDBI BANK LIMITED|FINANCIALS|CORP|                                                             4,957,115 |                                                                       2 |                                             52,280,000           |                                                                    26 | Asia Ex-Japan           |
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|                                                             4,938,294 |                                                                       1 |                                             30,879,964           |                                                                    12 | Europe           |
OLD MUTUAL PUBLIC LIMITED COMPANY|FINANCIALS|CORP|                                                             4,935,294 |                                                                       1 |                                             86,873,492           |                                                                    12 | Europe           |
NXP B.V.|TECHNOLOGY|CORP|                                                             4,890,454 |                                                                       2 |                                             18,182,117           |                                                                    12 | Europe           |
NOVO BANCO, S.A.|FINANCIALS|CORP|                                                             4,829,502 |                                                                       1 |                                                         4,643,604 |                                                                      2 | Europe           |
