Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                                       3,431,707,361 |Average Number of Trades/Week                                                                    420 |Notional traded in prior 8 Weeks                                        26,304,137,136 |Contracts traded in prior 8 Weeks                                                                 3,445 |DC Region Americas           
AVIS BUDGET GROUP, INC.|CONSUMER SERVICES|CORP|                                                         113,668,664 |                                                                     37 |                                           735,041,351 |                                                                   290 | Americas           |
TELEFONICA, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                                         112,046,581 |                                                                     26 |                                           521,346,558 |                                                                   157 | Europe           |
CARREFOUR|CONSUMER SERVICES|CORP|                                                         109,500,095 |                                                                     27 |                                           537,340,023 |                                                                   136 | Europe           |
VODAFONE GROUP PUBLIC LIMITED COMPANY|TELECOMMUNICATIONS SERVICES|CORP|                                                         109,316,975 |                                                                     25 |                                           694,144,091 |                                                                   173 | Europe           |
SOFTBANK GROUP CORP.|TECHNOLOGY|CORP|                                                         106,311,466 |                                                                     35 |                                           754,196,355 |                                                                   244 | Japan           |
L BRANDS, INC.|CONSUMER SERVICES|CORP|                                                         105,901,462 |                                                                     36 |                                        1,050,317,000 |                                                                   349 | Americas           |
MEDIOBANCA BANCA DI CREDITO FINANZIARIO           SOCIETA PER AZIONI|FINANCIALS|CORP|                                                         105,345,115 |                                                                     23 |                                           415,196,207 |                                                                    89 | Europe           |
PETROLEOS MEXICANOS|ENERGY|STATBODY|                                                         104,808,654 |                                                                     30 |                                           880,485,000 |                                                                   372 | Americas           |
TESCO PLC|CONSUMER SERVICES|CORP|                                                         104,643,401 |                                                                     27 |                                           275,432,695 |                                                                    96 | Europe           |
RITE AID CORPORATION|CONSUMER SERVICES|CORP|                                                         104,563,108 |                                                                     35 |                                           929,272,928 |                                                                   429 | Americas           |
ARCELORMITTAL|BASIC MATERIALS|CORP|                                                         103,950,772 |                                                                     23 |                                           920,791,831 |                                                                   189 | Europe           |
WEATHERFORD INTERNATIONAL LTD.|ENERGY|CORP|                                                         103,291,450 |                                                                     53 |                                           582,874,339 |                                                                   306 | Americas           |
COMMONWEALTH BANK OF AUSTRALIA|FINANCIALS|CORP|                                                         103,235,171 |                                                                     16 |                                           834,799,187 |                                                                   149 | Australia NZ           |
FREEPORT-MCMORAN INC.|BASIC MATERIALS|CORP|                                                         102,977,305 |                                                                     30 |                                           860,790,932 |                                                                   353 | Americas           |
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                                         102,218,519 |                                                                     39 |                                           319,595,000 |                                                                   204 | Americas           |
CITIGROUP INC.|FINANCIALS|CORP|                                                         101,620,944 |                                                                     12 |                                           297,777,027 |                                                                    50 | Americas           |
NATIONAL AUSTRALIA BANK LIMITED|FINANCIALS|CORP|                                                         100,915,120 |                                                                     13 |                                           506,512,311 |                                                                    71 | Australia NZ           |
BAYERISCHE MOTOREN WERKE           AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                                           96,721,327 |                                                                     19 |                                           618,559,750 |                                                                   172 | Europe           |
ALTICE FINCO S.A.|CONSUMER SERVICES|CORP|                                                           96,467,290 |                                                                     33 |                                           549,633,766 |                                                                   122 | Europe           |
ANADARKO PETROLEUM CORPORATION|ENERGY|CORP|                                                           94,920,898 |                                                                     21 |                                           493,300,000 |                                                                    85 | Americas           |
VOLKSWAGEN AKTIENGESELLSCHAFT|CONSUMER GOODS|CORP|                                                           94,717,047 |                                                                     17 |                                           474,019,567 |                                                                   136 | Europe           |
CREDIT AGRICOLE SA|FINANCIALS|CORP|                                                           94,074,796 |                                                                     25 |                                           907,860,421 |                                                                   357 | Europe           |
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                                           92,536,096 |                                                                     37 |                                           668,893,214 |                                                                   331 | Europe           |
ELECTRICITE DE FRANCE|UTILITIES|CORP|                                                           92,496,555 |                                                                     13 |                                           441,277,251 |                                                                    69 | Europe           |
THE ROYAL BANK OF SCOTLAND GROUP PUBLIC           LIMITED COMPANY|FINANCIALS|CORP|                                                           92,436,219 |                                                                     14 |                                           728,354,934 |                                                                   128 | Europe           |
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|                                                           89,645,000 |                                                                     17 |                                           593,311,000 |                                                                   107 | Americas           |
