Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
NATWEST GROUP PLC|FINANCIALS|CORP|                                  105,666,378           |                                                       16 |                                      446,990,919 |                                                        48 |Europe
COMMERZBANK AKTIENGESELLSCHAFT|FINANCIALS|CORP|                                  104,939,486           |                                                       15 |                                      426,591,766 |                                                        77 |Europe
ARCELORMITTAL|BASIC MATERIALS|CORP|                                  102,074,626           |                                                       22 |                                      702,543,707 |                                                      186 |Europe
APACHE CORPORATION|ENERGY|CORP|                                  101,287,000           |                                                       35 |                                      461,500,000 |                                                      251 |Americas
COMCAST CORPORATION|CONSUMER SERVICES|CORP|                                              99,656,086 |                                                       14 |                                      602,170,000 |                                                        68 |Americas
DEVON ENERGY CORPORATION|ENERGY|CORP|                                              98,262,850 |                                                       26 |                                      667,585,000 |                                                      185 |Americas
ARGENTINE REPUBLIC|GOVERNMENT|SOV|                                              96,347,482 |                                                       39 |                                      376,770,214 |                                                      126 |Americas
VIRGIN MEDIA FINANCE PLC|TELECOMMUNICATIONS SERVICES|CORP|                                              93,448,095 |                                                       29 |                                      583,324,586 |                                                      263 |Europe
CASINO GUICHARD-PERRACHON|CONSUMER SERVICES|CORP|                                              92,765,083 |                                                       26 |                                      593,036,056 |                                                      171 |Europe
THYSSENKRUPP AG|BASIC MATERIALS|CORP|                                              92,034,514 |                                                       21 |                                      858,888,588 |                                                      178 |Europe
TESCO PLC|CONSUMER SERVICES|CORP|                                              92,015,652 |                                                       19 |                                      359,789,892 |                                                        95 |Europe
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD           ANONIMA|FINANCIALS|CORP|                                              91,936,305 |                                                       16 |                                      392,295,183 |                                                        78 |Europe
JAGUAR LAND ROVER AUTOMOTIVE PLC|CONSUMER GOODS|CORP|                                              91,671,301 |                                                       29 |                                      683,655,205 |                                                      297 |Europe
REPSOL, S.A.|ENERGY|CORP|                                              91,628,269 |                                                       16 |                                      551,641,510 |                                                        98 |Europe
INTERNATIONAL BUSINESS MACHINES           CORPORATION|TECHNOLOGY|CORP|                                              91,218,790 |                                                       17 |                                      248,010,000 |                                                        43 |Americas
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|                                              89,263,826 |                                                       16 |                                      578,541,000 |                                                      115 |Americas
WELLS FARGO & COMPANY|FINANCIALS|CORP|                                              89,260,635 |                                                       13 |                                      382,415,000 |                                                        48 |Americas
STATE OF QATAR|GOVERNMENT|SOV|                                              88,501,538 |                                                       11 |                                      161,370,000 |                                                        55 |Europe
ANGLO AMERICAN PLC|BASIC MATERIALS|CORP|                                              88,355,434 |                                                       26 |                                      580,070,841 |                                                      271 |Europe
UNIBAIL-RODAMCO-WESTFIELD SE|FINANCIALS|CORP|                                              87,932,938 |                                                       16 |                                      468,411,055 |                                                      126 |Europe
NORDSTROM, INC.|CONSUMER SERVICES|CORP|                                              87,122,104 |                                                       27 |                                      348,929,000 |                                                      114 |Americas
AEGON N.V.|FINANCIALS|CORP|                                              86,676,326 |                                                       18 |                                      494,770,259 |                                                      104 |Europe
MACY'S, INC.|CONSUMER SERVICES|CORP|                                              86,512,885 |                                                       32 |                                      527,105,000 |                                                      197 |Americas
ROYAL DUTCH SHELL PLC|ENERGY|CORP|                                              83,855,871 |                                                       12 |                                      697,203,398 |                                                      120 |Europe
OCCIDENTAL PETROLEUM CORPORATION|ENERGY|CORP|                                              82,987,558 |                                                       41 |                                      590,720,000 |                                                      274 |Americas
AXA|FINANCIALS|CORP|                                              82,234,621 |                                                       16 |                                      542,036,150 |                                                        81 |Europe
BAYER AKTIENGESELLSCHAFT|HEALTHCARE|CORP|                                              81,940,269 |                                                       10 |                                      356,472,383 |                                                        62 |Europe
KOHL'S CORPORATION|CONSUMER SERVICES|CORP|                                              81,225,733 |                                                       25 |                                      255,250,000 |                                                        77 |Americas
LUMEN TECHNOLOGIES, INC.|TELECOMMUNICATIONS SERVICES|CORP|                                              80,703,808 |                                                       26 |                                      387,115,000 |                                                      154 |Americas
PFIZER INC.|HEALTHCARE|CORP|                                              80,347,692 |                                                       13 |                                      249,755,000 |                                                        67 |Americas
RENAULT|CONSUMER GOODS|CORP|                                              78,456,034 |                                                       20 |                                      540,033,247 |                                                      160 |Europe
AMERICAN AIRLINES GROUP INC.|INDUSTRIALS|CORP|                                              77,649,500 |                                                       44 |                                      589,362,000 |                                                      299 |Americas
SIMON PROPERTY GROUP, L.P.|FINANCIALS|CORP|                                              77,470,507 |                                                       19 |                                      281,940,000 |                                                        91 |Americas
AMERICAN AXLE & MANUFACTURING, INC.|CONSUMER GOODS|CORP|                                              76,052,038 |                                                       28 |                                      387,040,000 |                                                      175 |Americas
TRANSOCEAN INC.|ENERGY|CORP|                                              75,820,935 |                                                       36 |                                      311,960,000 |                                                      138 |Americas
CREDIT AGRICOLE SA|FINANCIALS|CORP|                                              74,867,749 |                                                       16 |                                      356,358,993 |                                                        68 |Europe
MARKS AND SPENCER P.L.C.|CONSUMER SERVICES|CORP|                                              73,382,344 |                                                       20 |                                      389,685,770 |                                                      150 |Europe
BRITISH AMERICAN TOBACCO P.L.C.|CONSUMER GOODS|CORP|                                              73,088,896 |                                                       13 |                                      358,883,432 |                                                      102 |Europe
UNITED STATES STEEL CORPORATION|BASIC MATERIALS|CORP|                                              72,806,423 |                                                       29 |                                      338,841,000 |                                                      157 |Americas
BERKSHIRE HATHAWAY INC.|FINANCIALS|CORP|                                              71,914,678 |                                                       12 |                                      188,312,472 |                                                        58 |Americas
HOLCIM AG|INDUSTRIALS|CORP|                                              70,978,311 |                                                       16 |                                      167,246,581 |                                                        61 |Europe
DISH DBS CORPORATION|CONSUMER SERVICES|CORP|                                              70,824,127 |                                                       22 |                                      394,135,000 |                                                      126 |Americas
