Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                          1,665,603,708 |Average Number of Trades/Week                                                      178 |Notional traded in prior 8 Weeks                                    7,115,922,000 |Contracts traded in prior 8 Weeks                                                       786 |DC RegionAmericas
SYNGENTA AG|BASIC MATERIALS|CORP|                                              13,573,367 |                                                         5 |                                        82,883,896 |                                                        21 |Europe
BERTELSMANN SE & CO. KGAA|CONSUMER SERVICES|CORP|                                              13,512,947 |                                                         2 |                                        48,455,057 |                                                        12 |Europe
AETNA INC.|HEALTHCARE|CORP|                                              13,284,615 |                                                         2 |                                        59,000,000 |                                                        11 |Americas
THE ADT SECURITY CORPORATION|INDUSTRIALS|CORP|                                              13,263,077 |                                                         5 |                                      133,140,000 |                                                        30 |Americas
NOVA CHEMICALS CORPORATION|BASIC MATERIALS|CORP|                                              13,135,654 |                                                         4 |                                        50,000,000 |                                                        13 |Americas
BOC AVIATION LIMITED|INDUSTRIALS|CORP|                                              12,868,462 |                                                         2 |                                        33,580,000 |                                                         7 |Asia Ex-Japan
THE KOREA DEVELOPMENT BANK|GOVERNMENT|STATBODY|                                              12,847,586 |                                                         1 |                                   100,000 |                                                         1 |Asia Ex-Japan
UNILEVER PLC|CONSUMER GOODS|CORP|                                              12,816,718 |                                                         2 |                                      214,799,511 |                                                        35 |Europe
NETFLIX, INC.|CONSUMER SERVICES|CORP|                                              12,781,625 |                                                         7 |                                      107,408,240 |                                                        29 |Americas
UNISYS CORPORATION|TECHNOLOGY|CORP|                                              12,749,231 |                                                         5 |                                        58,700,000 |                                                        23 |Americas
STONEGATE PUB COMPANY FINANCING PLC|CONSUMER SERVICES|CORP|                                              12,735,275 |                                                         7 |                                        83,930,245 |                                                        48 |Europe
UNILEVER FINANCE NETHERLANDS B.V.|CONSUMER GOODS|CORP|                                              12,607,394 |                                                         3 |                                      200,579,005 |                                                        38 |Europe
FEDEX CORPORATION|INDUSTRIALS|CORP|                                              12,579,355 |                                                         3 |                                      147,900,000 |                                                        25 |Americas
FEDERAL REPUBLIC OF NIGERIA|GOVERNMENT|SOV|                                              12,500,000 |                                                         4 |                                      325,000,000 |                                                      103 |Europe
TAKEDA PHARMACEUTICAL COMPANY LIMITED|HEALTHCARE|CORP|                                              12,460,696 |                                                         2 |                                      131,370,907 |                                                        25 |Japan
FAURECIA|CONSUMER GOODS|CORP|                                              12,369,769 |                                                         9 |                                      104,669,945 |                                                      110 |Europe
KONINKLIJKE AHOLD DELHAIZE N.V.|CONSUMER SERVICES|CORP|                                              12,360,811 |                                                         3 |                                        25,105,337 |                                                         9 |Europe
TEGNA INC.|CONSUMER SERVICES|CORP|                                              12,345,385 |                                                         6 |                                        32,000,000 |                                                        64 |Americas
POSTNL N.V.|INDUSTRIALS|CORP|                                              12,167,243 |                                                         3 |                                        77,985,722 |                                                        24 |Europe
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|                                              12,159,374 |                                                         5 |                                        74,847,847 |                                                        60 |Europe
XLIT LTD.|FINANCIALS|CORP|                                              12,128,423 |                                                         5 |                                        77,106,000 |                                                        23 |Americas
HENKEL AG & CO. KGAA|CONSUMER GOODS|CORP|                                              12,108,452 |                                                         2 |                                        39,208,802 |                                                        11 |Europe
ICELAND BONDCO PLC|CONSUMER SERVICES|CORP|                                              12,099,134 |                                                         5 |                                        47,401,686 |                                                        27 |Europe
KONINKLIJKE DSM N.V.|BASIC MATERIALS|CORP|                                              12,032,826 |                                                         2 |                                        60,627,342 |                                                        14 |Europe
CARLSBERG BREWERIES A/S|CONSUMER GOODS|CORP|                                              12,022,922 |                                                         3 |                                        84,152,623 |                                                        45 |Europe
LAGARDERE SA|CONSUMER SERVICES|CORP|                                              11,974,215 |                                                         5 |                                        29,026,218 |                                                        25 |Europe
THALES|INDUSTRIALS|CORP|                                              11,941,753 |                                                         2 |                                      133,051,121 |                                                        23 |Europe
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|                                              11,938,676 |                                                         5 |                                        86,017,698 |                                                        43 |Europe
ENBW ENERGIE BADEN-WUERTTEMBERG AG|UTILITIES|CORP|                                              11,855,148 |                                                         2 |                                        11,704,120 |                                                         5 |Europe
ARAMARK SERVICES, INC.|CONSUMER SERVICES|CORP|                                              11,840,000 |                                                         5 |                                        36,200,000 |                                                        14 |Americas
SAFEWAY INC.|CONSUMER SERVICES|CORP|                                              11,816,154 |                                                       11 |                                        51,000,000 |                                                        19 |Americas
MATTERHORN TELECOM HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                              11,797,206 |                                                         7 |                                      110,264,515 |                                                        75 |Europe
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|                                              11,760,480 |                                                         2 |                                        42,837,079 |                                                        12 |Europe
TELENOR ASA|TELECOMMUNICATIONS SERVICES|CORP|                                              11,758,454 |                                                         3 |                                        10,533,708 |                                                         5 |Europe
SULTANATE OF OMAN|GOVERNMENT|SOV|                                              11,751,538 |                                                         2 |                                      111,240,000 |                                                        32 |Europe
ITOCHU CORPORATION|BASIC MATERIALS|CORP|                                              11,702,355 |                                                         3 |                                        50,320,595 |                                                        20 |Japan
TOYOTA MOTOR CORPORATION|CONSUMER GOODS|CORP|                                              11,455,686 |                                                         2 |                                        24,818,755 |                                                         5 |Japan
HAPAG-LLOYD AKTIENGESELLSCHAFT|INDUSTRIALS|CORP|                                              11,441,903 |                                                         5 |                                        52,610,019 |                                                        20 |Europe
NOMURA HOLDINGS, INC.|FINANCIALS|CORP|                                              11,328,702 |                                                         2 |                                        44,172,830 |                                                        21 |Japan
MITSUI & CO., LTD.|FINANCIALS|CORP|                                              11,324,323 |                                                         3 |                                        97,498,999 |                                                        17 |Japan
SWEDBANK AB|FINANCIALS|CORP|                                              11,127,017 |                                                         2 |                                        21,067,416 |                                                         6 |Europe
UNILABS SUBHOLDING AB (PUBL)|HEALTHCARE|CORP|                                              11,123,416 |                                                         4 |                                      108,380,151 |                                                        33 |Europe
SHIMAO GROUP HOLDINGS LIMITED|FINANCIALS|CORP|                                              11,076,923 |                                                         1 |                                        36,000,000 |                                                         4 |Asia Ex-Japan
L'AIR LIQUIDE SOCIETE ANONYME POUR           L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|BASIC MATERIALS|CORP|                                              11,010,066 |                                                         2 |                                        44,241,574 |                                                        14 |Europe
BAIDU, INC.|TECHNOLOGY|CORP|                                              10,853,846 |                                                         2 |                                        66,900,000 |                                                        13 |Asia Ex-Japan
PICARD BONDCO S.A.|CONSUMER SERVICES|CORP|                                              10,804,478 |                                                         5 |                                      121,664,327 |                                                        43 |Europe
RAYTHEON COMPANY|INDUSTRIALS|CORP|                                              10,701,923 |                                                         3 |                                        40,100,000 |                                                        13 |Americas
TOSHIBA CORPORATION|INDUSTRIALS|CORP|                                              10,691,077 |                                                         4 |                                        25,274,145 |                                                         5 |Japan
BALL CORPORATION|INDUSTRIALS|CORP|                                              10,600,692 |                                                         4 |                                      103,500,000 |                                                        39 |Americas
MONITCHEM HOLDCO 3 S.A.|BASIC MATERIALS|CORP|                                              10,537,309 |                                                         3 |                                        30,021,068 |                                                        13 |Europe
GARFUNKELUX HOLDCO 2 S.A.|INDUSTRIALS|CORP|                                              10,478,389 |                                                         5 |                                        28,089,888 |                                                         8 |Europe
CHINA NATIONAL CHEMICAL CORPORATION           LIMITED|BASIC MATERIALS|CORP|                                              10,448,462 |                                                         2 |                                        41,200,000 |                                                         8 |Asia Ex-Japan
MITSUI CHEMICALS, INC.|BASIC MATERIALS|CORP|                                              10,202,133 |                                                         3 |                                        25,274,145 |                                                         5 |Japan
THE EXPORT-IMPORT BANK OF CHINA|GOVERNMENT|CORP|                                              10,196,154 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
METSA BOARD CORPORATION|BASIC MATERIALS|CORP|                                              10,130,816 |                                                         2 |                                        43,919,710 |                                                         9 |Europe
M&G PLC|FINANCIALS|CORP|                                              10,120,721 |                                                         2 |                                        21,184,457 |                                                         6 |Europe
EDP - ENERGIAS DE PORTUGAL, S.A.|UTILITIES|CORP|                                              10,056,987 |                                                         2 |                                        47,635,768 |                                                        11 |Europe
BERRY GLOBAL, INC.|INDUSTRIALS|CORP|                                              10,000,000 |                                                         1 |                                                      -   |                                                        -   |Americas
ORIX CORPORATION|FINANCIALS|CORP|                                               9,990,031 |                                                         2 |                                        83,072,244 |                                                        11 |Japan
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE           ENTITY OF SCENTRE GROUP TRUST 1|FINANCIALS|CORP|                                               9,969,231 |                                                         1 |                                        38,000,000 |                                                         5 |Australia NZ
NOVAFIVES|INDUSTRIALS|CORP|                                               9,962,130 |                                                         6 |                                        51,227,851 |                                                        44 |Europe
HITACHI, LTD.|INDUSTRIALS|CORP|                                               9,944,492 |                                                         1 |                                        33,015,775 |                                                         7 |Japan
TDC A/S|TELECOMMUNICATIONS SERVICES|CORP|                                               9,903,359 |                                                         2 |                                        49,463,484 |                                                         8 |Europe
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES|CORP|                                               9,838,753 |                                                         2 |                                        21,067,416 |                                                         6 |Europe
TARGA RESOURCES PARTNERS LP|ENERGY|CORP|                                               9,809,231 |                                                         7 |                                        93,500,000 |                                                        39 |Americas
KINTETSU GROUP HOLDINGS CO., LTD.|INDUSTRIALS|CORP|                                               9,803,583 |                                                         2 |                                        28,279,719 |                                                         7 |Japan
SUMITOMO CORPORATION|INDUSTRIALS|CORP|                                               9,679,665 |                                                         2 |                                        27,551,095 |                                                         7 |Japan
SABRE HOLDINGS CORPORATION|TECHNOLOGY|CORP|                                               9,523,119 |                                                       10 |                                        36,350,000 |                                                        12 |Americas
TRANSCANADA PIPELINES LIMITED|UTILITIES|CORP|                                               9,261,396 |                                                         3 |                                      107,775,000 |                                                        23 |Americas
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|FINANCIALS|CORP|                                               9,188,462 |                                                         2 |                                        27,800,000 |                                                         4 |Asia Ex-Japan
KAWASAKI KISEN KAISHA, LTD.|INDUSTRIALS|CORP|                                               9,157,718 |                                                         3 |                                        64,801,997 |                                                        20 |Japan
LAMB WESTON HOLDINGS, INC.|CONSUMER GOODS|CORP|                                               9,075,000 |                                                         3 |                                        44,250,000 |                                                        13 |Americas
OJI HOLDINGS CORPORATION|BASIC MATERIALS|CORP|                                               9,032,186 |                                                         2 |                                        23,088,273 |                                                         5 |Japan
CONSTELLIUM SE|BASIC MATERIALS|CORP|                                               9,027,343 |                                                         3 |                                        62,617,042 |                                                        18 |Europe
PANASONIC CORPORATION|CONSUMER GOODS|CORP|                                               8,870,472 |                                                         2 |                                        47,588,255 |                                                        12 |Japan
MITSUBISHI CORPORATION|INDUSTRIALS|CORP|                                               8,838,945 |                                                         1 |                                        53,508,325 |                                                         8 |Japan
HEATHROW FUNDING LIMITED|INDUSTRIALS|CORP|                                               8,715,068 |                                                         1 |                                      102,937,735 |                                                        15 |Europe
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|                                               8,352,690 |                                                         2 |                                      104,693,353 |                                                        34 |Europe
DUBAI|GOVERNMENT|STATE|                                               8,313,462 |                                                         3 |                                        49,500,000 |                                                        28 |Europe
CHINA ORIENT ASSET MANAGEMENT           (INTERNATIONAL) HOLDING LIMITED|FINANCIALS|CORP|                                               8,282,692 |                                                         1 |                                          3,800,000 |                                                         1 |Asia Ex-Japan
DEUTSCHE POST AG|INDUSTRIALS|CORP|                                               8,273,913 |                                                         1 |                                        37,453,184 |                                                        10 |Europe
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                               8,223,077 |                                                         1 |                                        17,300,000 |                                                         3 |Asia Ex-Japan
AGILE GROUP HOLDINGS LIMITED|FINANCIALS|CORP|                                               8,153,846 |                                                         1 |                                        39,000,000 |                                                         3 |Asia Ex-Japan
RELX PLC|CONSUMER SERVICES|CORP|                                               8,119,473 |                                                         1 |                                        28,926,012 |                                                         6 |Europe
QANTAS AIRWAYS LIMITED|INDUSTRIALS|CORP|                                               7,988,462 |                                                         1 |                                        15,000,000 |                                                         3 |Australia NZ
SUMITOMO REALTY & DEVELOPMENT CO.,           LTD.|FINANCIALS|CORP|                                               7,963,195 |                                                         3 |                                        45,766,695 |                                                         9 |Japan
MACQUARIE GROUP LIMITED|FINANCIALS|CORP|                                               7,884,615 |                                                         1 |                                                      -   |                                                        -   |Australia NZ
LOGAN GROUP COMPANY LIMITED|FINANCIALS|CORP|                                               7,807,692 |                                                         1 |                                                      -   |                                                        -   |Asia Ex-Japan
AVIENT CORPORATION|BASIC MATERIALS|CORP|                                               7,700,000 |                                                         8 |                                        28,000,000 |                                                        14 |Americas
EXPORT-IMPORT BANK OF INDIA|GOVERNMENT|STATBODY|                                               7,626,923 |                                                         2 |                                        64,000,000 |                                                        16 |Asia Ex-Japan
DAVITA INC.|HEALTHCARE|CORP|                                               7,563,269 |                                                         8 |                                        74,400,000 |                                                        64 |Americas
ASHLAND LLC|BASIC MATERIALS|CORP|                                               7,497,454 |                                                       12 |                                        36,320,000 |                                                        39 |Americas
HUTCHISON WHAMPOA LIMITED|CONSUMER SERVICES|CORP|                                               7,455,769 |                                                         2 |                                          6,800,000 |                                                         5 |Asia Ex-Japan
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                               7,350,000 |                                                         1 |                                          4,100,000 |                                                         4 |Asia Ex-Japan
TRANE TECHNOLOGIES COMPANY LLC|INDUSTRIALS|CORP|                                               7,253,846 |                                                         2 |                                        22,000,000 |                                                         6 |Americas
VATTENFALL AB|UTILITIES|CORP|                                               7,229,545 |                                                         1 |                                        24,344,570 |                                                         2 |Europe
SUPERVALU INC.|CONSUMER SERVICES|CORP|                                               7,095,808 |                                                         3 |                                        44,350,000 |                                                        10 |Americas
GRIFOLS, S.A.|HEALTHCARE|CORP|                                               7,093,729 |                                                         4 |                                        24,445,834 |                                                        13 |Europe
VODAFONE WEST GMBH|TELECOMMUNICATIONS SERVICES|CORP|                                               6,940,702 |                                                         1 |                                   800,000 |                                                         1 |Europe
PT INDONESIA ASAHAN ALUMINIUM PERSERO|BASIC MATERIALS|CORP|                                               6,938,462 |                                                         1 |                                          8,800,000 |                                                         2 |Asia Ex-Japan
LOUISIANA-PACIFIC CORPORATION|BASIC MATERIALS|CORP|                                               6,917,308 |                                                         2 |                                        32,500,000 |                                                         9 |Americas
PERUSAHAAN PERSEROAN (PERSERO) PT           PERUSAHAAN LISTRIK NEGARA|UTILITIES|CORP|                                               6,905,769 |                                                         1 |                                          3,800,000 |                                                         1 |Asia Ex-Japan
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|                                               6,894,780 |                                                         2 |                                        65,257,387 |                                                        14 |Japan
