Reference EntityREPUBLIC OF ITALY|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                        3,307,054,703 |Average Number of Trades/Week                                                     115 |Notional traded in prior 8 Weeks                                  32,605,791,800 |Contracts traded in prior 8 Weeks                                                     881 |DC Region Europe 
KINGDOM OF SWEDEN|GOVERNMENT|SOV|                                            14,537,462 |                                                        1 |                                       14,600,000 |                                                       4 | Europe 
KINGDOM OF THE NETHERLANDS|GOVERNMENT|SOV|                                            14,302,451 |                                                        2 |                                      111,600,000 |                                                       9 | Europe 
EAST JAPAN RAILWAY COMPANY|INDUSTRIALS|CORP|                                            14,009,398 |                                                        2 |                                      148,863,480 |                                                     19 | Japan 
AVIENT CORPORATION|BASIC MATERIALS|CORP|                                            13,983,192 |                                                        6 |                                       55,063,000 |                                                     37 | Americas 
HONDA MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                            13,959,234 |                                                        3 |                                       45,751,619 |                                                     15 | Japan 
THE HARTFORD FINANCIAL SERVICES GROUP, INC.|FINANCIALS|CORP|                                            13,905,769 |                                                        3 |                                       17,300,000 |                                                       9 | Americas 
PACTIV LLC|INDUSTRIALS|CORP|                                            13,820,615 |                                                        5 |                                       88,902,000 |                                                     32 | Americas 
ANA HOLDINGS INC.|INDUSTRIALS|CORP|                                            13,807,955 |                                                        5 |                                       30,660,414 |                                                       9 | Japan 
THE BANK OF NOVA SCOTIA|FINANCIALS|STATBODY|                                            13,461,538 |                                                        1 |                                                     -   |                                                      -   | Americas 
HOWMET AEROSPACE INC.|INDUSTRIALS|CORP|                                            13,251,923 |                                                        5 |                                       45,400,000 |                                                     31 | Americas 
UNITI GROUP INC.|FINANCIALS|CORP|                                            13,250,000 |                                                        6 |                                      125,200,000 |                                                     19 | Americas 
THE ADT SECURITY CORPORATION|INDUSTRIALS|CORP|                                            13,228,846 |                                                        5 |                                       83,300,000 |                                                     30 | Americas 
SCHAEFFLER AG|CONSUMER GOODS|CORP|                                            13,170,725 |                                                        7 |                                       43,182,753 |                                                     32 | Europe 
BOYD GAMING CORPORATION|CONSUMER SERVICES|CORP|                                            13,082,407 |                                                        9 |                                      169,782,000 |                                                    114 | Americas 
DOMTAR CORPORATION|BASIC MATERIALS|CORP|                                            12,899,231 |                                                        6 |                                       45,180,000 |                                                     30 | Americas 
STATE OF ISRAEL|GOVERNMENT|SOV|                                            12,830,769 |                                                        1 |                                       66,900,000 |                                                       5 | Europe 
ERP OPERATING LIMITED PARTNERSHIP|FINANCIALS|CORP|                                            12,762,769 |                                                        3 |                                       46,000,000 |                                                     17 | Americas 
VUE ENTERTAINMENT INTERNATIONAL LIMITED|CONSUMER SERVICES|CORP|                                            12,612,821 |                                                        6 |                                      292,788,595 |                                                     71 | Europe 
FISERV, INC.|TECHNOLOGY|CORP|                                            12,596,308 |                                                        2 |                                       44,642,000 |                                                     24 | Americas 
IRON MOUNTAIN INCORPORATED|INDUSTRIALS|CORP|                                            12,581,115 |                                                      12 |                                       19,691,000 |                                                     36 | Americas 
ITOCHU CORPORATION|BASIC MATERIALS|CORP|                                            12,472,963 |                                                        5 |                                       64,735,129 |                                                     20 | Japan 
PG&E CORPORATION|UTILITIES|CORP|                                            12,461,538 |                                                        5 |                                       74,000,000 |                                                     28 | Americas 
MITSUI & CO., LTD.|FINANCIALS|CORP|                                            12,354,513 |                                                        4 |                                       28,543,548 |                                                     13 | Japan 
COMMONWEALTH BANK OF AUSTRALIA|FINANCIALS|CORP|                                            12,340,994 |                                                        1 |                                         5,000,000 |                                                       1 | Australia NZ 
ROMANIA|GOVERNMENT|SOV|                                            12,054,615 |                                                        3 |                                       20,070,000 |                                                       9 | Europe 
SUMITOMO CORPORATION|INDUSTRIALS|CORP|                                            11,940,054 |                                                        3 |                                      127,216,818 |                                                     19 | Japan 
THERMO FISHER SCIENTIFIC INC.|HEALTHCARE|CORP|                                            11,923,077 |                                                        1 |                                      310,000,000 |                                                       8 | Americas 
GENWORTH HOLDINGS, INC.|FINANCIALS|CORP|                                            11,717,192 |                                                        6 |                                       15,677,000 |                                                       9 | Americas 
ANTERO RESOURCES CORPORATION|ENERGY|CORP|                                            11,707,692 |                                                        3 |                                       41,000,000 |                                                     12 | Americas 
NOMURA HOLDINGS, INC.|FINANCIALS|CORP|                                            11,419,520 |                                                        2 |                                       12,940,197 |                                                       7 | Japan 
MITSUBISHI CORPORATION|INDUSTRIALS|CORP|                                            11,374,084 |                                                        4 |                                       67,603,140 |                                                     19 | Japan 
JAPAN TOBACCO INC.|CONSUMER GOODS|STATBODY|                                            11,314,465 |                                                        3 |                                       42,781,179 |                                                       9 | Japan 
EXPORT-IMPORT BANK OF INDIA|GOVERNMENT|STATBODY|                                            11,059,615 |                                                        3 |                                       78,100,000 |                                                     21 | Asia Ex-Japan 
PIONEER NATURAL RESOURCES COMPANY|ENERGY|CORP|                                            11,042,308 |                                                        2 |                                       43,500,000 |                                                     12 | Americas 
ORIX CORPORATION|FINANCIALS|CORP|                                            10,969,169 |                                                        5 |                                       16,320,354 |                                                       4 | Japan 
HUNGARY|GOVERNMENT|SOV|                                            10,865,692 |                                                        2 |                                         8,600,000 |                                                       4 | Europe 
SAFEHOLD INC.|FINANCIALS|CORP|                                            10,799,154 |                                                        5 |                                       54,900,000 |                                                     49 | Americas 
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|TELECOMMUNICATIONS SERVICES|CORP|                                            10,745,190 |                                                        5 |                                      270,630,477 |                                                    114 | Europe 
DOMINICAN REPUBLIC|GOVERNMENT|SOV|                                            10,738,462 |                                                        3 |                                       94,300,000 |                                                     40 | Americas 
TENCENT HOLDINGS LIMITED|TECHNOLOGY|CORP|                                            10,647,846 |                                                        4 |                                      135,250,000 |                                                     47 | Asia Ex-Japan 
CONSTELLIUM SE|BASIC MATERIALS|CORP|                                            10,635,595 |                                                        5 |                                       38,634,658 |                                                     29 | Europe 
K+S AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                            10,384,121 |                                                        5 |                                      123,994,160 |                                                     71 | Europe 
MATTERHORN TELECOM HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                              9,994,107 |                                                        3 |                                      113,216,028 |                                                     38 | Europe 
TECHNIPFMC PLC|ENERGY|CORP|                                              9,944,445 |                                                        4 |                                       11,011,550 |                                                     13 | Europe 
REPUBLIC OF FINLAND|GOVERNMENT|SOV|                                              9,540,192 |                                                        1 |                                                     -   |                                                      -   | Europe 
WESTROCK MWV, LLC|INDUSTRIALS|CORP|                                              9,486,923 |                                                        1 |                                         6,960,000 |                                                       7 | Americas 
SVENSKA HANDELSBANKEN AB|FINANCIALS|CORP|                                              9,255,198 |                                                        2 |                                      126,160,718 |                                                     26 | Europe 
BAIDU, INC.|TECHNOLOGY|CORP|                                              9,242,308 |                                                        2 |                                      124,300,000 |                                                     29 | Asia Ex-Japan 
LG CHEM, LTD.|BASIC MATERIALS|CORP|                                              9,169,231 |                                                        1 |                                      238,400,000 |                                                     21 | Asia Ex-Japan 
EG GLOBAL FINANCE PLC|CONSUMER SERVICES|CORP|                                              9,119,700 |                                                        6 |                                      167,124,055 |                                                    123 | Europe 
TOYOTA MOTOR CORPORATION|CONSUMER GOODS|CORP|                                              9,065,337 |                                                        3 |                                            682,860 |                                                       1 | Japan 
UPM-KYMMENE OYJ|BASIC MATERIALS|CORP|                                              8,974,757 |                                                        3 |                                       56,137,326 |                                                     32 | Europe 
DAVITA INC.|HEALTHCARE|CORP|                                              8,849,115 |                                                        6 |                                       51,477,000 |                                                     52 | Americas 
TDC HOLDING A/S|TELECOMMUNICATIONS SERVICES|CORP|                                              8,757,518 |                                                        3 |                                      116,963,559 |                                                     56 | Europe 
K. HOVNANIAN ENTERPRISES, INC.|CONSUMER GOODS|CORP|                                              8,718,462 |                                                      10 |                                       19,900,000 |                                                     26 | Americas 
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|                                              8,715,921 |                                                        7 |                                       58,117,245 |                                                     55 | Europe 
UNISYS CORPORATION|TECHNOLOGY|CORP|                                              8,703,192 |                                                        5 |                                       88,800,000 |                                                     55 | Americas 
VERISURE MIDHOLDING AB|INDUSTRIALS|CORP|                                              8,589,841 |                                                        5 |                                       87,429,566 |                                                     55 | Europe 
VATTENFALL AB|UTILITIES|CORP|                                              8,462,120 |                                                        1 |                                       35,085,828 |                                                     12 | Europe 
SABRE HOLDINGS CORPORATION|TECHNOLOGY|CORP|                                              8,457,692 |                                                        5 |                                       31,750,000 |                                                     27 | Americas 
HITACHI, LTD.|INDUSTRIALS|CORP|                                              8,307,780 |                                                        3 |                                       96,283,259 |                                                     24 | Japan 
MBIA INC.|FINANCIALS|CORP|                                              8,241,346 |                                                        5 |                                       23,000,000 |                                                     21 | Americas 
PANASONIC HOLDINGS CORPORATION|CONSUMER GOODS|CORP|                                              8,234,504 |                                                        2 |                                       72,724,590 |                                                     15 | Japan 
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|INDUSTRIALS|CORP|                                              7,846,423 |                                                        2 |                                      203,800,000 |                                                     54 | Americas 
KINGFISHER PLC|CONSUMER SERVICES|CORP|                                              7,764,552 |                                                        4 |                                       59,915,800 |                                                     24 | Europe 
LAGARDERE SA|CONSUMER SERVICES|CORP|                                              7,718,882 |                                                        3 |                                       32,602,831 |                                                       8 | Europe 
KIMBERLY-CLARK CORPORATION|CONSUMER GOODS|CORP|                                              7,692,308 |                                                        1 |                                      200,000,000 |                                                       4 | Americas 
REYNOLDS AMERICAN INC.|CONSUMER GOODS|CORP|                                              7,407,808 |                                                        2 |                                       75,544,000 |                                                     17 | Americas 
INEOS GROUP HOLDINGS S.A.|BASIC MATERIALS|CORP|                                              7,400,958 |                                                        3 |                                       38,699,722 |                                                     22 | Europe 
OJI HOLDINGS CORPORATION|BASIC MATERIALS|CORP|                                              7,287,013 |                                                        4 |                                       14,818,062 |                                                       5 | Japan 
BANCO DO BRASIL S.A.|FINANCIALS|CORP|                                              7,237,308 |                                                        1 |                                                     -   |                                                      -   | Americas 
METSA BOARD CORPORATION|BASIC MATERIALS|CORP|                                              7,213,896 |                                                        4 |                                      114,906,628 |                                                     77 | Europe 
MITSUI CHEMICALS, INC.|BASIC MATERIALS|CORP|                                              6,958,606 |                                                        3 |                                       20,417,510 |                                                     26 | Japan 
LOUISIANA-PACIFIC CORPORATION|BASIC MATERIALS|CORP|                                              6,953,846 |                                                        3 |                                       11,500,000 |                                                       5 | Americas 
ASHLAND INC.|BASIC MATERIALS|CORP|                                              6,948,269 |                                                        5 |                                       47,905,000 |                                                     51 | Americas 
ABBOTT LABORATORIES|HEALTHCARE|CORP|                                              6,923,077 |                                                        1 |                                       80,000,000 |                                                       1 | Americas 
THE COCA-COLA COMPANY|CONSUMER GOODS|CORP|                                              6,923,077 |                                                        1 |                                       40,000,000 |                                                       2 | Americas 
KOMATSU LTD.|INDUSTRIALS|CORP|                                              6,831,226 |                                                        2 |                                       74,841,456 |                                                     15 | Japan 
TEGNA INC.|CONSUMER SERVICES|CORP|                                              6,803,846 |                                                        4 |                                       30,100,000 |                                                       7 | Americas 
APPLE INC.|TECHNOLOGY|CORP|                                              6,788,462 |                                                        1 |                                      130,000,000 |                                                     12 | Americas 
QANTAS AIRWAYS LIMITED|INDUSTRIALS|CORP|                                              6,730,769 |                                                        1 |                                      112,500,000 |                                                       8 | Australia NZ 
SUMITOMO REALTY & DEVELOPMENT CO., LTD.|FINANCIALS|CORP|                                              6,714,090 |                                                        2 |                                       20,485,800 |                                                       3 | Japan 
UNIVISION COMMUNICATIONS INC.|CONSUMER SERVICES|CORP|                                              6,667,528 |                                                        4 |                                       49,325,000 |                                                     25 | Americas 
AVON PRODUCTS, INC.|CONSUMER GOODS|CORP|                                              6,651,923 |                                                        3 |                                       22,500,000 |                                                     10 | Americas 
IHEARTCOMMUNICATIONS, INC.|CONSUMER SERVICES|CORP|                                              6,287,500 |                                                        5 |                                       11,075,000 |                                                       4 | Americas 
NEW ALBERTSONS L.P.|CONSUMER SERVICES|CORP|                                              6,279,808 |                                                        3 |                                       67,275,000 |                                                     18 | Americas 
INTERNATIONAL LEASE FINANCE CORPORATION|INDUSTRIALS|CORP|                                              6,216,692 |                                                        1 |                                       21,500,000 |                                                       8 | Americas 
ACOM CO., LTD.|FINANCIALS|CORP|                                              6,153,619 |                                                        2 |                                       14,135,202 |                                                       7 | Japan 
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                              6,034,615 |                                                        2 |                                       73,900,000 |                                                     19 | Asia Ex-Japan 
UNILABS SUBHOLDING AB (PUBL)|HEALTHCARE|CORP|                                              6,009,600 |                                                        2 |                                       20,943,542 |                                                     12 | Europe 
SUMITOMO CHEMICAL COMPANY, LIMITED|BASIC MATERIALS|CORP|                                              5,984,743 |                                                        2 |                                       34,143,000 |                                                       8 | Japan 
TOSHIBA CORPORATION|INDUSTRIALS|CORP|                                              5,867,434 |                                                        3 |                                       29,704,410 |                                                     13 | Japan 
DBS BANK LTD.|FINANCIALS|CORP|                                              5,823,077 |                                                        2 |                                       16,600,000 |                                                     10 | Asia Ex-Japan 
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                              5,771,154 |                                                        1 |                                       30,200,000 |                                                       9 | Asia Ex-Japan 
BROADCOM CORPORATION|TECHNOLOGY|CORP|                                              5,769,231 |                                                        1 |                                      150,000,000 |                                                       1 | Americas 
CHINA PETROCHEMICAL CORPORATION|ENERGY|CORP|                                              5,723,077 |                                                        2 |                                       61,300,000 |                                                     18 | Asia Ex-Japan 
SONY GROUP CORPORATION|CONSUMER GOODS|CORP|                                              5,659,859 |                                                        2 |                                       26,290,110 |                                                       7 | Japan 
