Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
EUROPCAR MOBILITY GROUP|CONSUMER SERVICES|CORP|                                    22,437,357 |                                               11 |                               151,539,038 |                                                57 |  Europe  
MONITCHEM HOLDCO 3 S.A.|BASIC MATERIALS|CORP|                                    22,383,086 |                                                 7 |                               104,766,400 |                                                29 |  Europe  
KONINKLIJKE DSM N.V.|BASIC MATERIALS|CORP|                                    22,061,386 |                                                 5 |                               197,770,176 |                                                25 |  Europe  
ICELAND BONDCO PLC|CONSUMER SERVICES|CORP|                                    22,053,922 |                                               10 |                                 34,214,252 |                                                17 |  Europe  
EQUINOR ASA|ENERGY|CORP|                                    21,703,815 |                                                 5 |                                 91,352,053 |                                                29 |  Europe  
DELTA AIR LINES, INC.|INDUSTRIALS|CORP|                                    21,669,923 |                                               13 |                                 79,300,000 |                                                48 |  Americas  
TAKEDA PHARMACEUTICAL COMPANY LIMITED|HEALTHCARE|CORP|                                    21,522,137 |                                                 3 |                               292,708,334 |                                                52 |  Japan  
CECONOMY AG|CONSUMER SERVICES|CORP|                                    21,478,802 |                                                 7 |                                 42,860,974 |                                                28 |  Europe  
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|BASIC MATERIALS|CORP|                                    21,281,508 |                                                 4 |                               121,000,000 |                                                20 |  Asia Ex-Japan  
FORTUM OYJ|UTILITIES|CORP|                                    21,221,458 |                                                 4 |                               141,481,832 |                                                27 |  Europe  
COMMUNITY HEALTH SYSTEMS, INC.|HEALTHCARE|CORP|                                    21,189,885 |                                               11 |                                 54,736,000 |                                                30 |  Americas  
QANTAS AIRWAYS LIMITED|INDUSTRIALS|CORP|                                    21,124,411 |                                                 8 |                               165,034,674 |                                                40 |  Australia NZ  
THE EXPORT-IMPORT BANK OF CHINA|GOVERNMENT|CORP|                                    20,980,769 |                                                 2 |                               162,300,000 |                                                16 |  Asia Ex-Japan  
HENKEL AG & CO. KGAA|CONSUMER GOODS|CORP|                                    20,946,960 |                                                 5 |                               210,630,015 |                                                54 |  Europe  
DUKE ENERGY CAROLINAS, LLC|UTILITIES|CORP|                                    20,849,054 |                                               10 |                                 83,210,400 |                                                29 |  Americas  
FRONTIER COMMUNICATIONS CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                    20,797,003 |                                               11 |                                              -    |                                                -    |Americas
MITSUI & CO., LTD.|ENERGY|CORP|                                    20,715,809 |                                                 4 |                                 94,105,068 |                                                10 |  Japan  
NATIONAL GRID PLC|UTILITIES|CORP|                                    20,637,456 |                                                 4 |                               132,822,087 |                                                33 |  Europe  
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                    20,565,385 |                                                 3 |                               109,100,000 |                                                14 |  Asia Ex-Japan  
HUTCHISON WHAMPOA LIMITED|CONSUMER SERVICES|CORP|                                    20,556,385 |                                                 4 |                                 80,500,000 |                                                14 |  Asia Ex-Japan  
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                    20,476,923 |                                                 3 |                               174,800,000 |                                                14 |  Asia Ex-Japan  
GKN HOLDINGS LIMITED|CONSUMER GOODS|CORP|                                    20,457,111 |                                                 7 |                                 50,407,458 |                                                50 |  Europe  
OVINTIV CANADA ULC|ENERGY|CORP|                                    20,453,655 |                                               11 |                                 87,465,000 |                                                56 |  Americas  
SWIRE PACIFIC LIMITED|CONSUMER GOODS|CORP|                                    20,388,462 |                                                 3 |                               103,400,000 |                                                17 |  Asia Ex-Japan  
TELEFONAKTIEBOLAGET L M ERICSSON|TECHNOLOGY|CORP|                                    20,387,406 |                                                 5 |                               136,609,250 |                                                30 |  Europe  
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                    20,320,606 |                                               10 |                                 65,042,899 |                                                24 |  Europe  
SUMITOMO CORPORATION|INDUSTRIALS|CORP|                                    20,254,986 |                                                 3 |                                 86,074,013 |                                                15 |  Japan  
MGIC INVESTMENT CORPORATION|FINANCIALS|CORP|                                    20,066,269 |                                                 8 |                                 67,800,000 |                                                22 |  Americas  
MURPHY OIL CORPORATION|ENERGY|CORP|                                    20,017,998 |                                                 9 |                                 42,180,000 |                                                21 |  Americas  
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|                                    19,871,946 |                                                 4 |                               160,606,419 |                                                29 |  Europe  
REXEL|CONSUMER SERVICES|CORP|                                    19,803,404 |                                                 6 |                                 81,671,780 |                                                31 |  Europe  
UNIVISION COMMUNICATIONS INC.|CONSUMER SERVICES|CORP|                                    19,697,528 |                                                 7 |                               119,955,730 |                                                47 |  Americas  
WOORI BANK|FINANCIALS|CORP|                                    19,696,154 |                                                 3 |                                 40,100,000 |                                                  6 |  Asia Ex-Japan  
ARAMARK SERVICES, INC.|CONSUMER SERVICES|CORP|                                    19,555,500 |                                                 7 |                                 69,000,000 |                                                26 |  Americas  
SELECTA GROUP B.V.|CONSUMER SERVICES|CORP|                                    19,542,260 |                                                 8 |                                 30,757,433 |                                                30 |  Europe  
NIPPON PAPER INDUSTRIES CO.,LTD.|BASIC MATERIALS|CORP|                                    19,414,479 |                                                 7 |                                 52,868,426 |                                                19 |  Japan  
GS CALTEX CORPORATION|ENERGY|CORP|                                    19,324,038 |                                                 4 |                               195,200,000 |                                                48 |  Asia Ex-Japan  
ZIGGO BOND COMPANY B.V.|CONSUMER SERVICES|CORP|                                    19,130,208 |                                                 7 |                               169,456,538 |                                                74 |  Europe  
DBS BANK LTD.|FINANCIALS|CORP|                                    19,092,308 |                                                 3 |                                 68,600,000 |                                                13 |  Asia Ex-Japan  
HEMA BONDCO I B.V.|CONSUMER SERVICES|CORP|                                    19,080,844 |                                                 8 |                                 26,899,481 |                                                16 |  Europe  
CELLNEX TELECOM, S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    19,025,335 |                                                 5 |                               147,990,498 |                                                29 |  Europe  
CAPITALAND LIMITED|FINANCIALS|CORP|                                    18,982,692 |                                                 4 |                               127,400,000 |                                                31 |  Asia Ex-Japan  
SANOFI|HEALTHCARE|CORP|                                    18,946,150 |                                                 5 |                                 88,152,431 |                                                29 |  Europe  
FISERV, INC.|TECHNOLOGY|CORP|                                    18,936,608 |                                               35 |                                 62,360,400 |                                                24 |  Americas  
TRANSDIGM INC.|INDUSTRIALS|CORP|                                    18,923,038 |                                                 8 |                                 44,318,000 |                                                26 |  Americas  
DEUTSCHE POST AG|INDUSTRIALS|CORP|                                    18,913,130 |                                                 3 |                               357,715,906 |                                                38 |  Europe  
MITSUBISHI CORPORATION|INDUSTRIALS|CORP|                                    18,804,550 |                                                 3 |                                 53,294,081 |                                                14 |  Japan  
MITSUI CHEMICALS, INC.|BASIC MATERIALS|CORP|                                    18,684,269 |                                                 5 |                                 44,540,231 |                                                10 |  Japan  
SULTANATE OF OMAN|GOVERNMENT|SOV|                                    18,664,423 |                                                 3 |                                   1,875,000 |                                                  1 |  Europe  
SODEXO|CONSUMER SERVICES|CORP|                                    18,581,742 |                                                 4 |                               169,415,999 |                                                35 |  Europe  
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPAN style='display:none'>Y|INDUSTRIALS|CORP|                                    18,540,734 |                                                 8 |                                 86,840,917 |                                                30 |  Europe  
LEONARDO SOCIETA' PER AZIONI|INDUSTRIALS|CORP|                                    18,447,946 |                                                 6 |                               106,263,523 |                                                41 |  Europe  
COMPASS GROUP PLC|CONSUMER SERVICES|CORP|                                    18,372,237 |                                                 6 |                               109,403,021 |                                                38 |  Europe  
RELX PLC|CONSUMER SERVICES|CORP|                                    18,342,742 |                                                 4 |                               114,594,149 |                                                21 |  Europe  
INNOGY SE|UTILITIES|CORP|                                    18,168,364 |                                                 3 |                               244,962,248 |                                                37 |  Europe  
DUBAI|GOVERNMENT|STATE|                                    18,094,308 |                                                 6 |                                 84,002,000 |                                                55 |  Europe  
INTERNATIONAL GAME TECHNOLOGY PLC|CONSUMER SERVICES|CORP|                                    17,868,866 |                                                 9 |                               139,786,526 |                                                54 |  Europe  
THE KOREA DEVELOPMENT BANK|GOVERNMENT|STATBODY|                                    17,829,808 |                                                 3 |                                 69,500,000 |                                                12 |  Asia Ex-Japan  
RAKUTEN, INC.|TECHNOLOGY|CORP|                                    17,788,555 |                                                 4 |                                 22,014,539 |                                                  6 |  Japan  
TARGA RESOURCES PARTNERS LP|ENERGY|CORP|                                    17,768,077 |                                                 7 |                               163,950,000 |                                                61 |  Americas  
ADVANCED MICRO DEVICES, INC.|TECHNOLOGY|CORP|                                    17,712,192 |                                                 6 |                               113,072,000 |                                                37 |  Americas  
TELENOR ASA|TELECOMMUNICATIONS SERVICES|CORP|                                    17,485,479 |                                                 4 |                                 59,851,345 |                                                20 |  Europe  
STONEGATE PUB COMPANY FINANCING PLC|CONSUMER SERVICES|CORP|                                    17,480,128 |                                                 9 |                               179,259,085 |                                              111 |  Europe  
CCO HOLDINGS, LLC|CONSUMER SERVICES|CORP|                                    17,419,028 |                                                 4 |                               153,740,000 |                                                31 |  Americas  
NEW ALBERTSONS L.P.|CONSUMER SERVICES|CORP|                                    17,337,731 |                                                 6 |                               106,524,000 |                                                35 |  Americas  
LLOYDS BANK PLC|FINANCIALS|CORP|                                    17,286,683 |                                                 3 |                                 87,778,434 |                                                24 |  Europe  
POSTNL N.V.|INDUSTRIALS|CORP|                                    17,242,713 |                                                 5 |                               101,262,388 |                                                42 |  Europe  
OJI HOLDINGS CORPORATION|BASIC MATERIALS|CORP|                                    17,069,694 |                                                 3 |                                 20,786,260 |                                                  6 |  Japan  
MATALAN FINANCE PLC|CONSUMER SERVICES|CORP|                                    16,813,968 |                                                 9 |                                 51,911,279 |                                                37 |  Europe  
AKTIEBOLAGET ELECTROLUX|CONSUMER GOODS|CORP|                                    16,793,798 |                                                 4 |                                 42,726,522 |                                                14 |  Europe  
TELIA COMPANY AB|TELECOMMUNICATIONS SERVICES|CORP|                                    16,745,018 |                                                 3 |                                 99,598,868 |                                                25 |  Europe  
SINGAPORE TELECOMMUNICATIONS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                    16,517,308 |                                                 3 |                               109,250,000 |                                                19 |  Asia Ex-Japan  
PRUDENTIAL PUBLIC LIMITED COMPANY|FINANCIALS|CORP|                                    16,235,126 |                                                 4 |                                 75,094,385 |                                                23 |  Europe  
UNIVERSAL HEALTH SERVICES, INC.|HEALTHCARE|CORP|                                    16,034,615 |                                                 4 |                                 57,300,000 |                                                23 |  Americas  
PREMIER FOODS FINANCE PLC|CONSUMER GOODS|CORP|                                    16,015,077 |                                                 9 |                                 63,746,297 |                                                35 |  Europe  
UNITED GROUP B.V.|CONSUMER SERVICES|CORP|                                    15,969,941 |                                                 4 |                                 45,986,409 |                                                19 |  Europe  
LIBERTY INTERACTIVE LLC|CONSUMER SERVICES|CORP|                                    15,968,808 |                                                 7 |                                 56,300,000 |                                                15 |  Americas  
AMKOR TECHNOLOGY, INC.|TECHNOLOGY|CORP|                                    15,847,462 |                                                 5 |                               124,400,000 |                                                51 |  Americas  
LOUIS DREYFUS COMPANY B.V.|CONSUMER GOODS|CORP|                                    15,666,378 |                                                 7 |                                 46,107,306 |                                                18 |  Europe  
MBIA INC.|FINANCIALS|CORP|                                    15,597,308 |                                                 8 |                                 30,769,000 |                                                22 |  Americas  
THE HONGKONG LAND COMPANY, LIMITED|FINANCIALS|CORP|                                    15,534,615 |                                                 3 |                                 79,600,000 |                                                10 |  Asia Ex-Japan  
WHITING PETROLEUM CORPORATION|ENERGY|CORP|                                    15,530,462 |                                               11 |                                              -    |                                                -    |Americas
CHINA PETROCHEMICAL CORPORATION|ENERGY|CORP|                                    15,242,308 |                                                 3 |                                 75,500,000 |                                                11 |  Asia Ex-Japan  
SAIPEM FINANCE INTERNATIONAL B.V.|ENERGY|CORP|                                    15,098,763 |                                                 6 |                                 60,312,648 |                                                34 |  Europe  
VINCI|INDUSTRIALS|CORP|                                    15,094,883 |                                                 4 |                                 95,776,310 |                                                27 |  Europe  
STATE GRID CORPORATION OF CHINA|UTILITIES|CORP|                                    15,067,308 |                                                 3 |                                 29,250,000 |                                                  6 |  Asia Ex-Japan  
CHINA CONSTRUCTION BANK CORPORATION|FINANCIALS|CORP|                                    15,006,731 |                                                 2 |                                 80,000,000 |                                                10 |  Asia Ex-Japan  
BAIDU, INC.|TECHNOLOGY|CORP|                                    14,950,000 |                                                 3 |                                 73,800,000 |                                                13 |  Asia Ex-Japan  
PACTIV LLC|INDUSTRIALS|CORP|                                    14,885,115 |                                                 4 |                                 98,300,000 |                                                36 |  Americas  
UPC HOLDING B.V.|TELECOMMUNICATIONS SERVICES|CORP|                                    14,830,921 |                                               10 |                               125,095,991 |                                                58 |  Europe  
VALE SA|BASIC MATERIALS|CORP|                                    14,680,769 |                                                 4 |                                 50,935,000 |                                                20 |  Americas  
CSC HOLDINGS, LLC|CONSUMER SERVICES|CORP|                                    14,572,692 |                                                 5 |                               127,400,000 |                                                40 |  Americas  
J SAINSBURY PLC|CONSUMER SERVICES|CORP|                                    14,550,097 |                                                 4 |                               151,817,739 |                                                34 |  Europe  
LINDE AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                    14,497,359 |                                                 4 |                               134,709,770 |                                                34 |  Europe  
BOYD GAMING CORPORATION|CONSUMER SERVICES|CORP|                                    14,486,538 |                                                 9 |                                 78,900,000 |                                                42 |  Americas  
CITIC LIMITED|FINANCIALS|CORP|                                    13,887,500 |                                                 2 |                               100,875,000 |                                                12 |  Asia Ex-Japan  
TDC A/S|TELECOMMUNICATIONS SERVICES|CORP|                                    13,887,053 |                                                 3 |                               131,614,673 |                                                20 |  Europe  
MATTERHORN TELECOM HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    13,859,808 |                                                 4 |                                 22,962,294 |                                                12 |  Europe  
SMURFIT KAPPA ACQUISITIONS UNLIMITED COMPANY|INDUSTRIALS|CORP|                                    13,671,203 |                                                 4 |                                 61,828,693 |                                                19 |  Europe  
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|                                    13,376,346 |                                                 5 |                                 26,300,000 |                                                22 |  Americas  
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                    13,112,652 |                                                 6 |                                 38,225,578 |                                                32 |  Europe  
CONSTELLIUM SE|BASIC MATERIALS|CORP|                                    12,969,425 |                                                 3 |                                 72,498,821 |                                                13 |  Europe  
BOPARAN FINANCE PLC|CONSUMER GOODS|CORP|                                    12,928,978 |                                                 6 |                               101,721,331 |                                                21 |  Europe  
TELEKOM AUSTRIA AKTIENGESELLSCHAFT|TELECOMMUNICATIONS SERVICES|CORP|                                    12,806,749 |                                                 3 |                               143,971,214 |                                                40 |  Europe  
ORIX CORPORATION|FINANCIALS|CORP|                                    12,746,758 |                                                 2 |                               121,605,068 |                                                17 |  Japan  
TELEKOM MALAYSIA BERHAD|TELECOMMUNICATIONS SERVICES|CORP|                                    12,677,885 |                                                 2 |                                 74,700,000 |                                                18 |  Asia Ex-Japan  
THE NEIMAN MARCUS GROUP LLC|CONSUMER SERVICES|CORP|                                    12,569,027 |                                                 5 |                                              -    |                                                -    |Americas
M&G PLC|FINANCIALS|CORP|                                    12,402,366 |                                                 4 |                                 45,894,290 |                                                22 |  Europe  
CLEVELAND-CLIFFS INC.|BASIC MATERIALS|CORP|                                    12,398,923 |                                               11 |                                 73,767,000 |                                                55 |  Americas  
UNISYS CORPORATION|TECHNOLOGY|CORP|                                    12,354,992 |                                                 6 |                                 76,014,000 |                                                48 |  Americas  
