Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                                 2,384,425,942 |Average Number of Trades/Week                                              297 |Notional traded in prior 8 Weeks                              8,617,690,932 |Contracts traded in prior 8 Weeks                                            1,027 |DC Region  Americas  
INTRUM AB|FINANCIALS|CORP|                                    90,524,868 |                                               33 |                               282,456,349 |                                              178 |  Europe  
VALEO|CONSUMER GOODS|CORP|                                    89,929,299 |                                               29 |                               435,511,283 |                                              132 |  Europe  
HESS CORPORATION|ENERGY|CORP|                                    89,554,213 |                                               35 |                               435,955,400 |                                              176 |  Americas  
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|                                    88,538,608 |                                               15 |                               392,461,208 |                                              106 |  Europe  
COMMONWEALTH BANK OF AUSTRALIA|FINANCIALS|CORP|                                    88,375,519 |                                               11 |                               125,425,000 |                                                20 |  Australia NZ  
NABORS INDUSTRIES, INC.|ENERGY|CORP|                                    87,930,712 |                                               33 |                               557,106,000 |                                              217 |  Americas  
CARDINAL HEALTH, INC.|CONSUMER SERVICES|CORP|                                    87,334,631 |                                               31 |                               361,284,400 |                                              105 |  Americas  
ENI S.P.A.|ENERGY|CORP|                                    86,756,723 |                                               16 |                               479,294,481 |                                                75 |  Europe  
AMERICAN AIRLINES GROUP INC.|INDUSTRIALS|CORP|                                    84,519,385 |                                               43 |                               223,188,000 |                                              184 |  Americas  
VIACOMCBS INC.|CONSUMER SERVICES|CORP|                                    84,177,531 |                                               29 |                               480,960,400 |                                              136 |  Americas  
UNIBAIL-RODAMCO-WESTFIELD SE|FINANCIALS|CORP|                                    83,116,349 |                                               17 |                               329,486,372 |                                                99 |  Europe  
STENA AKTIEBOLAG|INDUSTRIALS|CORP|                                    82,572,154 |                                               23 |                               415,980,418 |                                              117 |  Europe  
SOUTHWEST AIRLINES CO.|INDUSTRIALS|CORP|                                    81,936,262 |                                               35 |                               444,570,400 |                                              190 |  Americas  
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRE style='display:none'>LAND|GOVERNMENT|SOV|                                    81,386,923 |                                                 6 |                               305,000,000 |                                                23 |  Europe  
