Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
NABORS INDUSTRIES, INC.|ENERGY|CORP|                                  72,337,115 |                                             39 |                             479,374,000 |                                            279 |  Americas  
AXA|FINANCIALS|CORP|                                  72,329,160 |                                             14 |                             334,682,976 |                                              80 |  Europe  
IBERDROLA, S.A.|UTILITIES|CORP|                                  72,059,384 |                                               9 |                             519,445,117 |                                              63 |  Europe  
CREDIT SUISSE GROUP AG|FINANCIALS|CORP|                                  71,041,061 |                                             12 |                             327,925,854 |                                              68 |  Europe  
SIMON PROPERTY GROUP, L.P.|FINANCIALS|CORP|                                  70,288,654 |                                             19 |                             349,464,000 |                                            123 |  Americas  
PRUDENTIAL FINANCIAL, INC.|FINANCIALS|CORP|                                  69,667,628 |                                             15 |                             322,466,810 |                                              84 |  Americas  
AVIVA PLC|FINANCIALS|CORP|                                  68,921,321 |                                             13 |                             407,301,715 |                                            100 |  Europe  
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND|GOVERNMENT|SOV|                                  68,892,898 |                                               3 |                             373,915,338 |                                              21 |  Europe  
KINGDOM OF THAILAND|GOVERNMENT|SOV|                                  68,417,154 |                                               9 |                             275,600,000 |                                              35 |  Asia Ex-Japan  
THE GAP, INC.|CONSUMER SERVICES|CORP|                                  68,343,183 |                                             23 |                             629,658,936 |                                            268 |  Americas  
HALLIBURTON COMPANY|ENERGY|CORP|                                  67,398,462 |                                             22 |                             697,075,000 |                                            126 |  Americas  
SOUTHWEST AIRLINES CO.|INDUSTRIALS|CORP|                                  67,327,160 |                                             20 |                             293,100,000 |                                              98 |  Americas  
GARFUNKELUX HOLDCO 2 S.A.|INDUSTRIALS|CORP|                                  67,192,783 |                                             38 |                               47,249,818 |                                              14 |  Europe  
ALTICE FRANCE|CONSUMER SERVICES|CORP|                                  67,143,368 |                                             16 |                             640,384,707 |                                            173 |  Europe  
EXPEDIA GROUP, INC.|CONSUMER SERVICES|CORP|                                  66,772,277 |                                             23 |                             448,150,000 |                                            185 |  Americas  
WELLS FARGO & COMPANY|FINANCIALS|CORP|                                  66,703,074 |                                               9 |                             223,700,000 |                                              36 |  Americas  
L BRANDS, INC.|CONSUMER SERVICES|CORP|                                  66,485,615 |                                             32 |                             381,115,000 |                                            236 |  Americas  
THE SHERWIN-WILLIAMS COMPANY|BASIC MATERIALS|CORP|                                  66,124,846 |                                             13 |                             270,540,000 |                                              77 |  Americas  
HOST HOTELS & RESORTS, L.P.|FINANCIALS|CORP|                                  65,816,808 |                                             22 |                             380,700,000 |                                            108 |  Americas  
