Reference EntityFEDERATIVE REPUBLIC OF BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ)                               1,326,487,895 |Average Number of Trades/Week                                            152 |Notional traded in prior 8 Weeks                            7,961,987,189 |Contracts traded in prior 8 Weeks                                             869 |DC Region  Americas  
WOLTERS KLUWER N.V.|CONSUMER SERVICES|CORP|                                    9,452,853 |                                               2 |                               40,828,689 |                                                7 |  Europe  
UNILEVER N.V.|CONSUMER GOODS|CORP|                                    9,452,226 |                                               2 |                             102,616,913 |                                              19 |  Europe  
MONITCHEM HOLDCO 3 S.A.|BASIC MATERIALS|CORP|                                    9,240,758 |                                               4 |                             119,740,925 |                                              57 |  Europe  
BAIDU, INC.|TECHNOLOGY|CORP|                                    9,153,846 |                                               2 |                               38,800,000 |                                                9 |  Asia Ex-Japan  
EXPERIAN FINANCE PLC|INDUSTRIALS|CORP|                                    9,012,433 |                                               2 |                               61,570,148 |                                              10 |  Europe  
TALEN ENERGY SUPPLY, LLC|UTILITIES|CORP|                                    9,000,231 |                                               6 |                               94,740,000 |                                              66 |  Americas  
LINDE AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                    8,646,857 |                                               3 |                               97,165,011 |                                              21 |  Europe  
TRANSDIGM INC.|INDUSTRIALS|CORP|                                    8,635,192 |                                               4 |                               79,090,000 |                                              41 |  Americas  
PT INDONESIA ASAHAN ALUMINIUM PERSERO|BASIC MATERIALS|CORP|                                    8,609,615 |                                               2 |                               25,000,000 |                                                3 |  Asia Ex-Japan  
BOC AVIATION LIMITED|INDUSTRIALS|CORP|                                    8,543,462 |                                               1 |                               58,800,000 |                                                7 |  Asia Ex-Japan  
HAMMERSON PLC|FINANCIALS|CORP|                                    8,438,873 |                                               1 |                               10,298,037 |                                                5 |  Europe  
NOVAFIVES|INDUSTRIALS|CORP|                                    8,434,176 |                                               5 |                             102,556,336 |                                              61 |  Europe  
VUE INTERNATIONAL BIDCO PLC|CONSUMER SERVICES|CORP|                                    8,421,138 |                                               5 |                               34,286,407 |                                              14 |  Europe  
ROMANIA|GOVERNMENT|SOV|                                    8,349,077 |                                               1 |                                 4,076,000 |                                                1 |  Europe  
ASHLAND LLC|BASIC MATERIALS|CORP|                                    8,332,115 |                                               7 |                             103,740,000 |                                              88 |  Americas  
THE HONGKONG LAND COMPANY, LIMITED|FINANCIALS|CORP|                                    8,209,615 |                                               1 |                               40,000,000 |                                                5 |  Asia Ex-Japan  
LADBROKES CORAL GROUP LIMITED|CONSUMER SERVICES|CORP|                                    8,206,620 |                                               3 |                               91,714,563 |                                              35 |  Europe  
SONY CORPORATION|CONSUMER GOODS|CORP|                                    8,152,334 |                                               2 |                               23,709,250 |                                                4 |  Japan  
REPUBLIC OF AUSTRIA|GOVERNMENT|SOV|                                    8,090,826 |                                               2 |                             136,500,000 |                                              40 |  Europe  
LAGARDERE SCA|CONSUMER SERVICES|CORP|                                    8,073,009 |                                               3 |                               83,777,562 |                                              22 |  Europe  
AKTIEBOLAGET ELECTROLUX|CONSUMER GOODS|CORP|                                    7,986,032 |                                               2 |                               42,524,836 |                                                8 |  Europe  
PICARD BONDCO S.A.|CONSUMER SERVICES|CORP|                                    7,965,835 |                                               3 |                               53,368,064 |                                              28 |  Europe  
FISERV, INC.|TECHNOLOGY|CORP|                                    7,934,615 |                                               3 |                               35,000,000 |                                              12 |  Americas  
BORGWARNER INC.|CONSUMER GOODS|CORP|                                    7,886,154 |                                               2 |                               34,000,000 |                                              20 |  Americas  
TOSHIBA CORPORATION|INDUSTRIALS|CORP|                                    7,882,404 |                                               2 |                               16,596,475 |                                                6 |  Japan  
NEW ALBERTSONS L.P.|CONSUMER SERVICES|CORP|                                    7,879,633 |                                               4 |                               84,406,667 |                                              39 |  Americas  
ALTICE FRANCE HOLDING S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    7,826,508 |                                               4 |                               12,969,469 |                                                5 |  Europe  
THALES|INDUSTRIALS|CORP|                                    7,791,094 |                                               1 |                               21,807,608 |                                                5 |  Europe  
PERUSAHAAN PERSEROAN (PERSERO) PT PERUSAHAANLISTRIK NEGARA|UTILITIES|CORP|                                    7,744,231 |                                               2 |                               19,000,000 |                                                7 |  Asia Ex-Japan  
SUMITOMO REALTY & DEVELOPMENT CO., LTD.|FINANCIALS|CORP|                                    7,733,513 |                                               2 |                               11,854,625 |                                                3 |  Japan  
SUMITOMO CHEMICAL COMPANY, LIMITED|BASIC MATERIALS|CORP|                                    7,710,238 |                                               2 |                               15,837,779 |                                                4 |  Japan  
HITACHI, LTD.|INDUSTRIALS|CORP|                                    7,700,035 |                                               1 |                               15,458,431 |                                                5 |  Japan  
KONINKLIJKE PHILIPS N.V.|CONSUMER GOODS|CORP|                                    7,699,286 |                                               2 |                               80,688,151 |                                              15 |  Europe  
DBS BANK LTD.|FINANCIALS|CORP|                                    7,675,000 |                                               1 |                               20,300,000 |                                                4 |  Asia Ex-Japan  
RENTOKIL INITIAL PLC|INDUSTRIALS|CORP|                                    7,579,449 |                                               2 |                                 6,178,822 |                                                3 |  Europe  
HUTCHISON WHAMPOA LIMITED|CONSUMER SERVICES|CORP|                                    7,578,846 |                                               2 |                               35,800,000 |                                                5 |  Asia Ex-Japan  
ENBW ENERGIE BADEN-WUERTTEMBERG AG|UTILITIES|CORP|                                    7,521,485 |                                               2 |                               45,069,057 |                                              14 |  Europe  
UNILABS SUBHOLDING AB (PUBL)|HEALTHCARE|CORP|                                    7,389,191 |                                               3 |                             111,309,668 |                                              36 |  Europe  
K+S AKTIENGESELLSCHAFT|BASIC MATERIALS|CORP|                                    7,388,583 |                                               3 |                             107,658,287 |                                              38 |  Europe  
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|FINANCIALS|CORP|                                    7,369,231 |                                               1 |                               54,600,000 |                                                7 |  Australia NZ  
SUN HUNG KAI PROPERTIES LIMITED|FINANCIALS|CORP|                                    7,286,538 |                                               2 |                               37,100,000 |                                                7 |  Asia Ex-Japan  
AEON CO., LTD.|CONSUMER SERVICES|CORP|                                    7,021,586 |                                               2 |                               42,771,487 |                                                8 |  Japan  
RICOH COMPANY, LTD.|TECHNOLOGY|CORP|                                    7,003,348 |                                               2 |                               26,364,686 |                                                8 |  Japan  
RELX PLC|CONSUMER SERVICES|CORP|                                    6,954,237 |                                               2 |                               19,338,774 |                                                4 |  Europe  
THE ADT SECURITY CORPORATION|INDUSTRIALS|CORP|                                    6,890,192 |                                               3 |                               61,720,000 |                                              40 |  Americas  
SINGAPORE TELECOMMUNICATIONS LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                    6,805,769 |                                               1 |                               33,500,000 |                                                5 |  Asia Ex-Japan  
KINTETSU GROUP HOLDINGS CO., LTD.|INDUSTRIALS|CORP|                                    6,755,312 |                                               2 |                               41,823,117 |                                              10 |  Japan  
MITSUBISHI HEAVY INDUSTRIES, LTD.|INDUSTRIALS|CORP|                                    6,729,779 |                                               1 |                               11,854,625 |                                                3 |  Japan  
RAYTHEON COMPANY|INDUSTRIALS|CORP|                                    6,702,092 |                                               4 |                               73,270,400 |                                              51 |  Americas  
LAMB WESTON HOLDINGS, INC.|CONSUMER GOODS|CORP|                                    6,698,077 |                                               3 |                               29,500,000 |                                              21 |  Americas  
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|TELECOMMUNICATIONS SERVICES|CORP|                                    6,696,660 |                                               3 |                                 5,451,902 |                                                2 |  Europe  
ARAB REPUBLIC OF EGYPT|GOVERNMENT|SOV|                                    6,688,462 |                                               2 |                               42,000,000 |                                                4 |  Europe  
REPUBLIC OF SERBIA|GOVERNMENT|SOV|                                    6,603,846 |                                               1 |                               15,000,000 |                                                5 |  Europe  
SCHAEFFLER FINANCE B.V.|CONSUMER GOODS|CORP|                                    6,566,324 |                                               3 |                               44,099,830 |                                                8 |  Europe  
OI EUROPEAN GROUP B.V.|INDUSTRIALS|CORP|                                    6,561,154 |                                               3 |                               79,775,789 |                                              41 |  Europe  
GRIFOLS, S.A.|HEALTHCARE|CORP|                                    6,551,825 |                                               3 |                               80,209,329 |                                              34 |  Europe  
ARAMARK SERVICES, INC.|CONSUMER SERVICES|CORP|                                    6,544,808 |                                               4 |                               62,240,000 |                                              44 |  Americas  
TARGA RESOURCES PARTNERS LP|ENERGY|CORP|                                    6,488,038 |                                               5 |                               63,586,000 |                                              47 |  Americas  
M&G PLC|FINANCIALS|CORP|                                    6,360,879 |                                               2 |                               18,899,927 |                                              13 |  Europe  
CHINA PETROCHEMICAL CORPORATION|ENERGY|CORP|                                    6,344,231 |                                               1 |                               15,100,000 |                                                3 |  Asia Ex-Japan  
STATE GRID CORPORATION OF CHINA|UTILITIES|CORP|                                    6,301,923 |                                               1 |                               15,000,000 |                                                2 |  Asia Ex-Japan  
SYNLAB UNSECURED BONDCO PLC|HEALTHCARE|CORP|                                    6,221,094 |                                               3 |                               23,573,007 |                                                9 |  Europe  
HUNGARY|GOVERNMENT|SOV|                                    6,210,829 |                                               1 |                               16,000,000 |                                                4 |  Europe  
SELECTA GROUP B.V.|CONSUMER SERVICES|CORP|                                    6,143,408 |                                               3 |                                            -  |                                              -  |  Europe  
AVIENT CORPORATION|BASIC MATERIALS|CORP|                                    6,041,577 |                                               6 |                               69,040,000 |                                              80 |  Americas  
DUBAI|GOVERNMENT|STATE|                                    5,994,640 |                                               6 |                               42,083,334 |                                              20 |  Europe  
SULTANATE OF OMAN|GOVERNMENT|SOV|                                    5,988,462 |                                               1 |                               51,000,000 |                                                8 |  Europe  
AK STEEL CORPORATION|BASIC MATERIALS|CORP|                                    5,975,596 |                                               4 |                               89,120,000 |                                              42 |  Americas  
SUPERVALU INC.|CONSUMER SERVICES|CORP|                                    5,975,202 |                                               2 |                               56,500,000 |                                              17 |  Americas  
OVINTIV CANADA ULC|ENERGY|CORP|                                    5,967,346 |                                               4 |                               43,100,000 |                                              33 |  Americas  
NEC CORPORATION|TECHNOLOGY|CORP|                                    5,890,837 |                                               1 |                               16,596,475 |                                                4 |  Japan  
FUJITSU LIMITED|TECHNOLOGY|CORP|                                    5,832,476 |                                               1 |                               27,597,567 |                                                6 |  Japan  
KT CORPORATION|TELECOMMUNICATIONS SERVICES|CORP|                                    5,828,846 |                                               1 |                               12,300,000 |                                                5 |  Asia Ex-Japan  
KAWASAKI KISEN KAISHA, LTD.|INDUSTRIALS|CORP|                                    5,774,114 |                                               2 |                               25,416,316 |                                                8 |  Japan  
ACOM CO., LTD.|FINANCIALS|CORP|                                    5,657,392 |                                               1 |                               14,889,409 |                                                4 |  Japan  
SHIMIZU CORPORATION|INDUSTRIALS|CORP|                                    5,628,211 |                                               1 |                                 7,112,775 |                                                2 |  Japan  
IRON MOUNTAIN INCORPORATED|INDUSTRIALS|CORP|                                    5,489,351 |                                               3 |                               68,466,130 |                                              47 |  Americas  
SCHAEFFLER AG|CONSUMER GOODS|CORP|                                    5,390,160 |                                               2 |                               81,990,550 |                                              40 |  Europe  
ADECCO GROUP AG|INDUSTRIALS|CORP|                                    5,333,218 |                                               1 |                               16,961,473 |                                                3 |  Europe  
VATTENFALL AB|UTILITIES|CORP|                                    5,304,021 |                                               1 |                               20,111,461 |                                                3 |  Europe  
TOKYO ELECTRIC POWER COMPANY HOLDINGS, INCORPORATED|UTILITIES|CORP|                                    5,245,216 |                                               1 |                                 7,112,775 |                                                2 |  Japan  
QATAR NATIONAL BANK (Q.P.S.C.)|FINANCIALS|CORP|                                    5,192,308 |                                               2 |                             135,000,000 |                                              39 |  Europe  
CROWN EUROPEAN HOLDINGS|INDUSTRIALS|CORP|                                    5,162,998 |                                               2 |                               52,095,953 |                                              19 |  Europe  
REPUBLIC OF CROATIA|GOVERNMENT|SOV|                                    5,154,162 |                                               1 |                               15,000,000 |                                                1 |  Europe  
VANKE REAL ESTATE (HONG KONG) COMPANY LIMITED|FINANCIALS|CORP|                                    5,148,077 |                                               1 |                               15,500,000 |                                                3 |  Asia Ex-Japan  
GS CALTEX CORPORATION|ENERGY|CORP|                                    5,120,769 |                                               1 |                               22,350,000 |                                                4 |  Asia Ex-Japan  
BALL CORPORATION|INDUSTRIALS|CORP|                                    5,094,808 |                                               2 |                               45,740,000 |                                              31 |  Americas  
SIRIUS XM RADIO INC.|CONSUMER SERVICES|CORP|                                    5,051,154 |                                               3 |                               38,940,000 |                                              31 |  Americas  
TRANSCANADA PIPELINES LIMITED|UTILITIES|CORP|                                    5,005,275 |                                               1 |                               16,557,928 |                                                5 |  Americas  
HONDA MOTOR CO., LTD.|CONSUMER GOODS|CORP|                                    4,957,422 |                                               2 |                               10,811,418 |                                                6 |  Japan  
BANCO DO BRASIL S.A.|FINANCIALS|CORP|                                    4,923,077 |                                               1 |                                            -  |                                              -  |  Americas  
WIND ACQUISITION FINANCE S.A.|TELECOMMUNICATIONS SERVICES|CORP|                                    4,752,940 |                                               1 |                                            -  |                                              -  |  Europe  
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|FINANCIALS|CORP|                                    4,733,807 |                                               2 |                               28,895,081 |                                              11 |  Europe  
PETROLIAM NASIONAL BERHAD (PETRONAS)|ENERGY|CORP|                                    4,711,538 |                                               1 |                               10,250,000 |                                                3 |  Asia Ex-Japan  
SK TELECOM CO., LTD.|TELECOMMUNICATIONS SERVICES|CORP|                                    4,682,872 |                                               1 |                               58,581,378 |                                              11 |  Asia Ex-Japan  
REPUBLIC OF POLAND|GOVERNMENT|SOV|                                    4,669,104 |                                               1 |                               10,000,000 |                                                2 |  Europe  
KLEPIERRE|FINANCIALS|CORP|                                    4,599,635 |                                               1 |                               17,228,011 |                                                3 |  Europe  
FEDEX CORPORATION|INDUSTRIALS|CORP|                                    4,577,624 |                                               2 |                               24,000,000 |                                                9 |  Americas  
SKANDINAVISKA ENSKILDA BANKEN AB|FINANCIALS|CORP|                                    4,557,231 |                                               1 |                                 4,846,135 |                                                1 |  Europe  
HD SUPPLY, INC.|INDUSTRIALS|CORP|                                    4,545,308 |                                               4 |                               34,240,000 |                                              25 |  Americas  
VOLVO CAR AB|CONSUMER GOODS|CORP|                                    4,522,283 |                                               2 |                               67,845,893 |                                              28 |  Europe  
PANASONIC CORPORATION|CONSUMER GOODS|CORP|                                    4,515,700 |                                               1 |                                 7,112,775 |                                                2 |  Japan  
CHINA OVERSEAS LAND & INVESTMENT LIMITED|FINANCIALS|CORP|                                    4,471,154 |                                               1 |                               18,000,000 |                                                3 |  Asia Ex-Japan  
VODAFONE WEST GMBH|TELECOMMUNICATIONS SERVICES|CORP|                                    4,387,337 |                                               1 |                               12,423,068 |                                                2 |  Europe  
DAVITA INC.|HEALTHCARE|CORP|                                    4,368,269 |                                               4 |                               30,761,000 |                                              30 |  Americas  
CITIC LIMITED|FINANCIALS|CORP|                                    4,298,077 |                                               1 |                                 7,000,000 |                                                2 |  Asia Ex-Japan  
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|TELECOMMUNICATIONS SERVICES|CORP|                                    4,256,410 |                                               1 |                               47,579,664 |                                              11 |  Americas  
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|FINANCIALS|CORP|                                    4,251,923 |                                               1 |                                 5,000,000 |                                                1 |  Asia Ex-Japan  
AMAZON.COM, INC.|CONSUMER SERVICES|CORP|                                    4,079,231 |                                               1 |                                 1,060,000 |                                                1 |  Americas  
CAPITALAND LIMITED|FINANCIALS|CORP|                                    3,946,154 |                                               1 |                               13,800,000 |                                                3 |  Asia Ex-Japan  
VISTRA CORP.|ENERGY|CORP|                                    3,886,962 |                                               3 |                               11,500,000 |                                              10 |  Americas  
PCCW-HKT TELEPHONE LIMITED|TELECOMMUNICATIONS SERVICES|CORP|                                    3,846,154 |                                               1 |                               10,000,000 |                                                1 |  Asia Ex-Japan  
REPUBLIC OF INDIA|GOVERNMENT|SOV|                                    3,846,154 |                                               1 |                             100,000,000 |                                                3 |  Asia Ex-Japan  
